comment_id,comment_eid,comment_mid,comment_date,comment_text,comment_append_edit,comment_edit_time,comment_edit_name,comment_ip_address,comment_author
1,150,7636,2016-03-30T12:25:46Z,"<p>
	Arriba Espana!
</p>",FALSE,0,,69.121.225.238,Bogatyr
2,150,7508,2016-04-01T19:17:45Z,"<p>
	It's just a prank bro
</p>",FALSE,0,,85.164.207.226,?✔️??????
3,150,0,2016-04-01T21:15:34Z,"<p>
	Having an armistice come out on April Fool's must be rough on the soldiers.
</p>",FALSE,0,beeblebrox,72.229.6.209,beeblebrox
4,154,7636,2016-04-17T13:36:49Z,"<p>
	Rest In Peace.
</p>",FALSE,0,,69.121.225.238,Bogatyr
5,147,9876,2016-04-20T05:24:10Z,"
<p>
	In memory of the greatest man who ever lived,
</p>

<p>
	Hail!
</p>

<p>
	<img src=""http://fdr4freedoms.org/wp-content/themes/fdf4fdr/images/universe/universe4/5-Reichstag_April_1938_web.jpg"" alt=""5-Reichstag_April_1938_web.jpg"" /></p>

<p>
	 
</p>
",FALSE,0,,174.64.6.46,Pelayo
6,147,9621,2016-04-20T06:37:56Z,"
<p>
	<img class=""ipsImage"" src=""http://jettandjahn.com/wp-content/uploads/2013/03/hitlerknight.jpg"" alt=""hitlerknight.jpg"" /></p>

<p>
	Proud to have family who served this heroic man, hail!
</p>
",FALSE,0,,68.109.194.141,Pho
7,147,4873,2016-04-20T07:02:33Z,"
<p>
	Happy 127th fam.
</p>

<p>
	88
</p>
",FALSE,0,,174.4.165.99,Rintrah
8,147,9679,2016-04-20T07:09:12Z,"<p>
	what a guy
</p>",FALSE,0,,66.169.97.70,Vinokura
9,147,9510,2016-04-20T14:22:09Z,"
<blockquote class=""ipsQuote"" data-ipsquote="""" data-ipsquote-contentapp=""calendar"" data-ipsquote-contentclass=""calendar_Event"" data-ipsquote-contentcommentid=""7"" data-ipsquote-contentid=""147"" data-ipsquote-contenttype=""calendar"" data-ipsquote-timestamp=""1461135753"" data-ipsquote-userid=""4873"" data-ipsquote-username=""Rintrah"">
	<div class=""ipsQuote_citation"">
		7 hours ago, Rintrah said:
	</div>

	<div class=""ipsQuote_contents"">
		<p>
			Happy 127th fam.
		</p>

		<p>
			 
		</p>
	</div>
</blockquote>

<p>
	Woah, if you add 1+2+7 you get 10, if you add 1+0 you get 1, therefore, Hitler is the 1. 
</p>
",FALSE,0,,86.15.81.183,TheDrifter
10,147,9519,2016-04-20T17:10:30Z,"<p>
	RIP
</p>",FALSE,0,,5.245.137.34,TheAdnanite
11,164,9876,2016-04-24T16:32:53Z,"
<p>
	Josè Antonio,
</p>

<p>
	Presente!
</p>

<p>
	 
</p>

<p>
	 
</p>

<p>
	 
</p>

<p>
	(Btw ""Rivera"" is spelled wrong)
</p>
",FALSE,0,,174.64.6.46,Pelayo
12,149,9943,2016-04-28T15:41:19Z,"<p>
	Rest in Peace
</p>",FALSE,0,,166.170.15.118,Starman
13,38,9679,2016-05-24T06:52:27Z,"<p>
	Hail the Bulgar Booger Burner, honor and praise god bless.
</p>",FALSE,0,,66.169.97.70,Vinokura
14,171,7600,2016-06-11T00:18:44Z,"<p>
	True hero
</p>",FALSE,0,,70.193.129.10,Odin
15,172,7424,2016-06-17T02:07:21Z,"
<p>
	<img alt=""cIMJDIql.jpg"" class=""ipsImage"" src=""http://i.imgur.com/cIMJDIql.jpg"" /></p>

<p>
	The Serb is a determined creature. 
</p>
",FALSE,0,,50.181.228.202,Bear
16,121,7424,2016-06-27T04:43:32Z,"<p>
	""Wherever the Serb shits is our Kingdom""
</p>",FALSE,0,,199.212.86.76,Bear
17,175,12519,2016-06-27T22:46:40Z,"
<div class=""ipsEmbeddedVideo"">
	<div>
		<iframe allowfullscreen=""true"" frameborder=""0"" height=""344"" src=""https://www.youtube.com/embed/46gjtSslUBg?feature=oembed"" width=""459""></iframe>
	</div>
</div>

<p>
	 
</p>
",FALSE,0,,79.143.165.200,Romulan
18,186,1558,2016-07-02T13:06:27Z,"<p>
	We were so close.
</p>",FALSE,0,,83.233.71.27,Noidberg
19,197,10706,2016-07-18T18:18:20Z,"<p>
	The event is named as ""Main Kampf"", please fix.
</p>",FALSE,0,,138.36.34.154,Overman
20,46,13257,2016-07-29T21:59:43Z,"
<p>
	<span lang=""it"" xml:lang=""it""><span>Buon compleanno</span></span>, nostro Duce.
</p>

<p>
	<img alt=""benito-mussolini.jpg"" class=""ipsImage"" height=""525"" src=""http://assets.nydailynews.com/polopoly_fs/1.1093490.1339447877!/img/httpImage/image.jpg_gen/derivatives/landscape_1200/benito-mussolini.jpg"" width=""1000"" /></p>
",FALSE,0,,179.39.135.228,Vasser
21,59,13274,2016-08-25T16:16:06Z,"<p>
	RIP such a great man
</p>",FALSE,0,,73.229.170.128,Spodershibe
22,59,13353,2016-08-26T03:56:42Z,"<p>
	George Lincoln Rockwell played a significant role in my awakening. To me he will always be the supreme arbiter of American National Socialism. <img alt=""320ec2c391.jpg"" class=""ipsImage"" src=""http://puu.sh/qOGvF/320ec2c391.jpg"" /></p>",FALSE,0,,74.193.2.247,Allwillbelost
23,72,9792,2016-10-16T18:17:33Z,"<p>
	I'll certainly be lifting a glass to the general, ironic really when you remember he drank himself to death.
</p>",FALSE,1476641877,Schwarzesonne,81.136.100.0,Schwarzesonne
24,93,13682,2016-12-02T00:24:05Z,"<p>
	May god rest his soul 
</p>",FALSE,0,,50.179.102.207,Ober
