attachment_id,id1,id2
2,47,204
3,47,204
4,47,204
5,47,204
6,47,204
7,47,204
8,47,204
9,47,205
10,47,205
11,47,205
12,47,205
13,47,205
14,47,205
15,47,205
16,47,205
17,47,205
18,11,208
19,11,208
20,11,208
21,11,208
22,11,208
23,11,208
24,11,208
25,11,208
26,11,208
27,11,208
28,62,213
30,62,213
31,47,244
32,47,244
33,47,244
34,47,244
35,47,244
36,47,265
37,47,265
38,62,308
39,62,308
40,77,315
41,62,322
42,62,326
44,62,326
45,62,402
92,3751,695
93,3751,695
94,3751,695
95,3751,695
96,3751,695
97,3751,695
98,3751,695
99,3751,695
100,3751,695
101,3751,695
102,3751,695
103,3751,695
104,3751,695
105,3751,695
106,3751,695
107,3751,695
108,3751,695
109,3751,695
110,3751,695
112,140,1034
130,197,1923
279,509,8346
280,509,8346
282,509,8780
283,532,8919
284,416,9181
285,416,9181
286,416,9181
287,416,9181
288,646,11925
289,646,11925
290,646,11925
291,646,11925
292,646,11925
305,243,16986
306,243,16986
307,243,16986
308,243,16986
309,243,16986
310,243,16986
311,243,16986
312,243,16986
313,909,20270
316,1159,28086
317,1196,30243
318,1261,31474
320,1442,36405
323,3467,36790
324,3467,36790
325,1605,40833
326,1605,40833
327,310,42378
331,1853,47489
332,1885,48864
335,2000,51027
336,1693,51689
337,1693,51689
338,2111,52930
345,2307,55396
