id,typed,image,clickable,emo_set,emo_position,emo_set_position
110,:berg:,emoticons/berg.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,4,8
109,:derp:,emoticons/derp.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,14,8
108,:uwot:,emoticons/uwot.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,13,8
107,:srsly:,emoticons/srsly.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,10,8
106,:gibsmedat:,emoticons/gibsmedat.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,12,8
105,:wat:,emoticons/wat.png,TRUE,f700487c16e5f786381778914e725e1b,2,6
104,:handy:,emoticons/handy.png,TRUE,f700487c16e5f786381778914e725e1b,24,6
174,:arrowcross:,emoticons/arrowcross.png,TRUE,f539dc6131bd274ed79f714e1929da89,6,3
171,:ropecult:,emoticons/ropecult.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,9,1
101,:moonman:,emoticons/moonman.png,TRUE,f700487c16e5f786381778914e725e1b,20,6
173,:urbex:,emoticons/urbex.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,13,1
21,:austrofas:,emoticons/default_austrofas.png,FALSE,fascistballs,18,7
22,:merchant:,emoticons/default_merchant.png,FALSE,fascistballs,26,7
23,:rockwell:,emoticons/default_rockwell.png,FALSE,fascistballs,14,7
24,:squadristi:,emoticons/default_squadristi.png,FALSE,fascistballs,5,7
25,:dugin:,emoticons/default_dugin.png,FALSE,fascistballs,25,7
26,:falangist:,emoticons/default_falangist.png,FALSE,fascistballs,16,7
27,:casapound:,emoticons/default_casapound.png,FALSE,fascistballs,17,7
28,:silver:,emoticons/default_silver.png,FALSE,fascistballs,21,7
29,:brazilian:,emoticons/default_brazilian.png,FALSE,fascistballs,12,7
30,:nazball:,emoticons/default_nazball.png,FALSE,fascistballs,19,7
31,:breivik:,emoticons/default_breivik.png,FALSE,fascistballs,22,7
32,:dawn:,emoticons/default_dawn.png,FALSE,fascistballs,3,7
33,:ss:,emoticons/default_ss.png,FALSE,fascistballs,8,7
34,:wpww:,emoticons/default_wpww.png,FALSE,fascistballs,23,7
35,:nazi:,emoticons/default_nazi.png,FALSE,fascistballs,13,7
36,:ahnenerbe:,emoticons/default_ahnenerbe.png,FALSE,fascistballs,7,7
37,:sa:,emoticons/default_sa.png,FALSE,fascistballs,9,7
38,:blackshirt:,emoticons/default_blackshirt.png,FALSE,fascistballs,15,7
39,:arditi:,emoticons/default_arditi.png,FALSE,fascistballs,6,7
40,:ironguard:,emoticons/default_ironguard.png,FALSE,fascistballs,11,7
41,:kkk:,emoticons/default_kkk.png,FALSE,fascistballs,20,7
42,:nam:,emoticons/default_nam.png,FALSE,fascistballs,24,7
43,:ikl:,emoticons/default_ikl.png,FALSE,fascistballs,4,7
44,:ironmarchy:,emoticons/default_ironmarchy.png,FALSE,fascistballs,1,7
170,:pride:,emoticons/pride.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,4,1
169,:IMOC:,emoticons/IMOC.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,12,1
113,:stein:,emoticons/stein.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,2,8
92,:nameit:,emoticons/fascistballs_checkit.png,FALSE,f700487c16e5f786381778914e725e1b,27,6
112,:hwite:,emoticons/hwite.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,9,8
95,:nokike:,emoticons/fascistballs_nokike.png,TRUE,f700487c16e5f786381778914e725e1b,28,6
111,:diefag:,emoticons/diefag.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,8,8
98,:NA:,emoticons/fascistballs_NA.png,TRUE,fascistballs,2,7
152,:anne:,emoticons/anne.png,TRUE,f700487c16e5f786381778914e725e1b,10,6
151,:smug:,emoticons/smug.png,TRUE,f700487c16e5f786381778914e725e1b,3,6
150,:ben:,emoticons/ben.png,TRUE,f700487c16e5f786381778914e725e1b,7,6
149,:jude:,emoticons/jude.png,TRUE,f700487c16e5f786381778914e725e1b,26,6
148,:wtf:,emoticons/wtf.png,TRUE,f700487c16e5f786381778914e725e1b,13,6
178,:reich:,emoticons/reich.png,TRUE,f539dc6131bd274ed79f714e1929da89,1,3
146,:lol:,emoticons/lol.png,TRUE,f700487c16e5f786381778914e725e1b,23,6
175,:BUF:,emoticons/BUF.png,TRUE,f539dc6131bd274ed79f714e1929da89,2,3
176,:falange:,emoticons/falange.png,TRUE,f539dc6131bd274ed79f714e1929da89,4,3
143,:cconsider:,emoticons/cconsider.png,TRUE,f700487c16e5f786381778914e725e1b,8,6
142,:book:,emoticons/book.png,TRUE,f700487c16e5f786381778914e725e1b,11,6
177,:ironG:,emoticons/ironG.png,TRUE,f539dc6131bd274ed79f714e1929da89,3,3
139,:upsetheil:,emoticons/upsetheil.png,TRUE,f700487c16e5f786381778914e725e1b,14,6
138,:gas:,emoticons/gas.png,TRUE,f700487c16e5f786381778914e725e1b,25,6
137,:fu:,emoticons/fu.png,TRUE,f700487c16e5f786381778914e725e1b,22,6
136,:deal:,emoticons/deal.png,TRUE,f700487c16e5f786381778914e725e1b,4,6
135,:eso:,emoticons/eso.png,TRUE,f700487c16e5f786381778914e725e1b,16,6
134,:ffs:,emoticons/ffs.png,TRUE,f700487c16e5f786381778914e725e1b,5,6
172,:skellyM:,emoticons/skellyM.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,2,1
168,:IMMH:,emoticons/IMMH.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,3,1
167,:huntfish:,emoticons/huntfish.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,11,1
166,:forge:,emoticons/forge.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,6,1
165,:FD:,emoticons/FD.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,8,1
164,:crest:,emoticons/crest.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,1,1
163,:chess:,emoticons/chess.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,10,1
162,:antimony:,emoticons/antimony.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,7,1
161,:alma:,emoticons/alma.png,TRUE,ebad4264c1c40dd74f6fd2479414fbaa,5,1
208,:dodge:,emoticons/dodge.png,TRUE,f700487c16e5f786381778914e725e1b,17,6
119,:ape:,emoticons/ape.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,11,8
118,:bloom:,emoticons/bloom.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,1,8
117,:zombfag:,emoticons/zombfag.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,6,8
116,:feld:,emoticons/feld.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,5,8
115,:gold:,emoticons/gold.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,3,8
114,:fagg:,emoticons/fagg.png,TRUE,84ba4fa006a1ff548bd1a09d7bd7c791,7,8
153,:daggers:,emoticons/daggers.png,TRUE,f700487c16e5f786381778914e725e1b,18,6
204,:glr:,emoticons/glr.png,TRUE,f4d7fd352cf45fbb5314148f24562479,4,5
155,:mengele:,emoticons/mengele.png,TRUE,f700487c16e5f786381778914e725e1b,6,6
156,:nazirub:,emoticons/nazirub.png,TRUE,f700487c16e5f786381778914e725e1b,9,6
157,:nzeb:,emoticons/nzeb.gif,TRUE,f700487c16e5f786381778914e725e1b,21,6
158,:thasrite:,emoticons/thasrite.png,TRUE,f700487c16e5f786381778914e725e1b,12,6
203,:charleyM:,emoticons/charleyM.png,TRUE,f4d7fd352cf45fbb5314148f24562479,6,5
160,:nrm:,emoticons/nrm.png,TRUE,fascistballs,10,7
179,:REXist:,emoticons/REXist.png,TRUE,f539dc6131bd274ed79f714e1929da89,5,3
180,:zbor:,emoticons/zbor.png,TRUE,f539dc6131bd274ed79f714e1929da89,7,3
181,:awd:,emoticons/awd.png,TRUE,68ca3191b56e441c371fdb1028f06a42,5,2
182,:azov:,emoticons/azov.png,TRUE,68ca3191b56e441c371fdb1028f06a42,4,2
183,:CasaP:,emoticons/CasaP.png,TRUE,68ca3191b56e441c371fdb1028f06a42,3,2
184,:GoldD:,emoticons/GoldD.png,TRUE,68ca3191b56e441c371fdb1028f06a42,1,2
185,:natact:,emoticons/natact.png,TRUE,68ca3191b56e441c371fdb1028f06a42,6,2
186,:NordRM:,emoticons/NordRM.png,TRUE,68ca3191b56e441c371fdb1028f06a42,2,2
187,:skydas:,emoticons/skydas.png,TRUE,68ca3191b56e441c371fdb1028f06a42,7,2
188,:arditi:,emoticons/arditi.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,13,4
189,:deathR:,emoticons/deathR.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,5,4
190,:fasces:,emoticons/fasces.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,14,4
191,:happyTTNKPF:,emoticons/happyTTNKPF.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,12,4
192,:kolovrat:,emoticons/kolovrat.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,9,4
193,:lifeR:,emoticons/lifeR.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,4,4
194,:ordoss:,emoticons/ordoss.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,3,4
195,:siege:,emoticons/siege.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,10,4
196,:sun:,emoticons/sun.png,TRUE,b01a32b9ac8d7e06dd8cdc8ece08748d,1,4
