g_id,g_view_board,g_other_topics,g_edit_profile,g_post_new_topics,g_reply_own_topics,g_reply_other_topics,g_edit_posts,g_delete_own_posts,g_open_close_posts,g_delete_own_topics,g_post_polls,g_vote_polls,g_use_pm,g_append_edit,g_access_offline,g_avoid_q,g_avoid_flood,g_icon,prefix,g_max_messages,g_max_mass_pm,g_search_flood,g_edit_cutoff,g_hide_from_list,g_post_closed,g_photo_max_vars,g_edit_topic,g_bypass_badwords,g_can_msg_attach,g_topic_rate_setting,g_dname_changes,g_dname_date,g_mod_preview,g_rep_max_positive,g_rep_max_negative,g_signature_limits,g_bitoptions,g_pm_perday,g_pm_flood_mins,g_bitoptions2,g_hide_own_posts,g_lock_unlock_own,g_can_report,g_promote_exclude
2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,<span style='color:#'>,50,-1,60,0,FALSE,FALSE,50:150:150,FALSE,FALSE,FALSE,0,0,1,TRUE,10,0,0:::::,299892736,-1,-1,0,,,0,FALSE
3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,<span style='color:#5cff5c'>,50,5,0,0,FALSE,FALSE,50:160:160,TRUE,FALSE,FALSE,1,3,30,FALSE,100,1,0:1:800:140::5,294322176,-1,-1,0,0,0,1,FALSE
4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,team_adminlogo.png,<span style='color:red;'>,50,6,0,5,FALSE,TRUE,250:160:160,TRUE,TRUE,TRUE,2,3,30,FALSE,100,100,0::800:140::5,671875200,-1,-1,8,1,0,1,TRUE
6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,/team_blackcorpslogo.png,<span style='color:#ffb24d'>,50,5,0,0,FALSE,FALSE,50:160:160,TRUE,FALSE,FALSE,1,3,30,FALSE,100,10,0::800:140::5,563019776,-1,-1,0,,,1,TRUE
7,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,team_prisoner.png,<span style='color:#ffff00'>,50,5,0,0,TRUE,FALSE,50:160:160,TRUE,FALSE,FALSE,0,0,1,FALSE,0,1,1::800:140::5,300941344,-1,-1,0,0,0,1,TRUE
10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,/team_cptlogo.png,<span style='color:#ffb24d'>,50,5,0,0,FALSE,TRUE,50:160:160,TRUE,FALSE,FALSE,1,3,30,FALSE,100,10,0::800:140::5,563019776,-1,-1,0,,,1,TRUE
13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,0,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,<span style='color:#'>,50,5,30,30,FALSE,FALSE,50:160:160,TRUE,FALSE,FALSE,1,3,30,FALSE,-1,1,0:1:800:140::5,26148864,-1,-1,0,0,0,1,TRUE
14,FALSE,,TRUE,,,,0,0,,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,monthly_2016_03/gassedlogo.png.fdbd90fb9e3bb6f127594589e5d10fa4.png,<span style='color:#0078cc'>,-1,-1,2,0,FALSE,FALSE,50:150:150,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0:::::,135004160,-1,-1,0,0,0,1,TRUE
15,FALSE,,TRUE,,,,0,0,,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,monthly_2016_06/fallen.png.9fc49102a8e99cf98f1444370c14e216.png,<span style='color:#c47c51'>,-1,-1,2,0,FALSE,FALSE,50:150:150,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0:::::,135004160,-1,-1,0,0,0,1,TRUE
16,FALSE,,TRUE,,,,0,0,,,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,,<span style='color:#'>,0,0,2,0,FALSE,FALSE,50:150:150,FALSE,FALSE,FALSE,0,0,1,FALSE,0,0,0:::::,135004160,0,0,0,0,0,1,TRUE
17,TRUE,,TRUE,,,,1,0,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,<span style='color:#008004'>,50,0,0,30,FALSE,FALSE,50:150:150,FALSE,FALSE,FALSE,1,3,30,FALSE,100,0,0:1:800:140::5,269221888,0,0,0,0,0,1,TRUE
