ignore_id,ignore_owner_id,ignore_ignore_id,ignore_messages,ignore_topics,ignore_mentions
2,143,84,FALSE,FALSE,FALSE
31,13558,72,FALSE,FALSE,FALSE
4,255,279,FALSE,FALSE,FALSE
32,14399,6260,TRUE,TRUE,TRUE
7,991,1109,FALSE,FALSE,FALSE
8,288,91,FALSE,FALSE,FALSE
11,54,6113,FALSE,FALSE,FALSE
13,7364,132,FALSE,FALSE,FALSE
15,7901,7508,TRUE,TRUE,FALSE
17,7643,7481,FALSE,FALSE,FALSE
19,9304,9727,FALSE,FALSE,FALSE
20,293,6113,FALSE,FALSE,FALSE
22,4873,9916,FALSE,FALSE,FALSE
24,7543,5,FALSE,FALSE,FALSE
25,13137,6249,TRUE,TRUE,FALSE
26,13416,13342,TRUE,TRUE,TRUE
29,13532,9571,TRUE,FALSE,TRUE
30,13698,84,FALSE,FALSE,FALSE
33,14399,14382,TRUE,TRUE,TRUE
34,14399,14028,TRUE,TRUE,TRUE
35,14617,9304,FALSE,FALSE,FALSE
36,14747,14542,FALSE,FALSE,FALSE
