status_id,status_member_id,status_date,status_content,status_replies,status_last_ids,status_is_latest,status_is_locked,status_hash,status_author_id,status_author_ip,status_approved
2,14,1316397519,<p>Cold... *brrr*</p>,3,"a:3:{i:1324554161;a:4:{s:8:""reply_id"";s:1:""1"";s:15:""reply_member_id"";s:2:""35"";s:10:""reply_date"";s:10:""1324554161"";s:13:""reply_content"";s:22:""Try living in Indiana."";}i:1328301526;a:4:{s:8:""reply_id"";s:1:""2"";s:15:""reply_member_id"";s:3:""132"";s:10:""reply_date"";s:10:""1328301526"";s:13:""reply_content"";s:62:""Try living in Finland. -25 celsius and strong wind. Augh yeah."";}i:1343580980;a:4:{s:8:""reply_id"";s:2:""52"";s:15:""reply_member_id"";s:2:""67"";s:10:""reply_date"";s:10:""1343580980"";s:13:""reply_content"";s:106:""Implying that Canada is not the most cold. I mean, we are a frozen wasteland, with polar bears and igloos."";}}",FALSE,FALSE,143f498959a1292d66a3dfa375edb095,14,71.114.56.45,1
6,35,1319211330,"<p>I am so fucking tired, prepared for a 24 hour day...</p>",0,a:0:{},FALSE,FALSE,43695c68bff0f30738d08f7ff948b07e,35,71.65.36.98,1
7,35,1319935567,<p>Queensryche</p>,0,a:0:{},FALSE,FALSE,842bc583d6103f9ba3b8920d45059afc,35,71.65.36.98,1
8,35,1319935570,<p>Queensryche</p>,0,a:0:{},FALSE,FALSE,842bc583d6103f9ba3b8920d45059afc,35,71.65.36.98,1
11,35,1321967601,<p>Getting into social credit.</p>,0,a:0:{},FALSE,FALSE,e8410a6b4fe6c883408393d281eb6fb5,35,71.65.36.98,1
12,89,1324039690,<p>National Socialism</p>,0,a:0:{},TRUE,FALSE,cd19c9457f5ef37b6517d0162b5f71de,89,86.144.209.41,1
28,143,1332804371,"<p>Ahaha, gnat season.</p>",0,a:0:{},FALSE,FALSE,b1161af476cad0dcc11a4437f47f0f8e,143,64.189.76.149,1
29,130,1332911151,<p>Dreams of Stalingrad. Fatherland - Glory - Valhalla</p>,3,"a:3:{i:1333328200;a:4:{s:8:""reply_id"";s:1:""7"";s:15:""reply_member_id"";s:3:""132"";s:10:""reply_date"";s:10:""1333328200"";s:13:""reply_content"";s:21:""*hmm...slavsicles...*"";}i:1333757777;a:4:{s:8:""reply_id"";s:1:""8"";s:15:""reply_member_id"";s:3:""130"";s:10:""reply_date"";s:10:""1333757777"";s:13:""reply_content"";s:11:""lolgenocide"";}i:1333758050;a:4:{s:8:""reply_id"";s:1:""9"";s:15:""reply_member_id"";s:3:""130"";s:10:""reply_date"";s:10:""1333758050"";s:13:""reply_content"";s:50:""I didn&#39;t even know you could comment on these."";}}",FALSE,FALSE,6fbad0df53ee7777eeb8b6f5c4c3feab,130,24.92.121.120,1
19,143,1328730328,"<p>Numbess of body, mind and spirit.</p>",0,a:0:{},FALSE,FALSE,d0c7e59d9604f425f6ba8fe57804c3fe,143,64.189.79.27,1
20,143,1328846880,"<p>Sleep addiction, tally ho.</p>",0,a:0:{},FALSE,FALSE,685f847efa3ecf3bd063ea9d8b74982a,143,64.189.79.49,1
