wl_id,wl_member,wl_moderator,wl_date,wl_reason,wl_points,wl_note_member,wl_note_mods,wl_mq,wl_rpa,wl_suspend,wl_acknowledged,wl_content_app,wl_content_id1,wl_content_id2,wl_expire_date,wl_content_module
2,40,4,2011-10-27T23:38:28Z,0,1,,<p>Racism/ethnic slurs etc.</p>,,,,TRUE,,,,,
3,40,4,2011-10-27T23:39:35Z,0,0,,<p>I believe that my previous adjustment of the warning bar was far too lenient.</p>,,,,TRUE,,,,,
4,40,4,2011-12-04T00:16:19Z,0,0,,<p>yhu7jytf</p>,,,,TRUE,,,,,
5,89,7,2011-12-17T22:04:47Z,0,1,,<p>Ridiculous drama and frankly embarassing behaviour. </p>,,,,TRUE,,,,,
6,49,14,2011-12-17T22:07:40Z,0,1,,"
<p>Warned for excessive flaming in the topic 'Ask me anything' by user Ben Barton. The thread is here:</p>
<p><a href="""" rel=""external nofollow"">http://ironmarch.org/index.php?/topic/394-ask-me-anything/page__pid__5491#entry5491</a></p>
",,,,TRUE,,,,,
7,40,14,2011-12-23T20:27:50Z,0,0,,"
<p>Completely disgraceful trolling and flaming contained within the thread 'Schopenhauer on Women'. I would have interned him myself if this damn thing told me how.</p>
<p>Holiday Best,</p>
<p>Dux</p>
<p>12.22..11</p>
",,,,TRUE,,,,,
8,40,14,2011-12-25T14:33:04Z,0,0,,"
<p>See my previous log. It appears that I did not actually increase the Warning Level. My mistake.</p>
<p>Happy Holidays,</p>
<p>Dux</p>
",,,,TRUE,,,,,
9,40,4,2012-01-01T19:56:58Z,0,0,,<p>He told me to.</p>,,,,TRUE,,,,,
10,40,4,2012-01-28T21:05:49Z,0,0,,<p>Cooldown?</p>,,,,TRUE,,,,,
11,49,4,2012-01-28T21:06:46Z,0,0,,<p>Cooldown.</p>,,,,TRUE,,,,,
12,89,1,2012-01-29T08:46:22Z,0,0,,<p>Using forum name without permission. Insubordination. Giving lip.</p>,,,,TRUE,,,,,
13,209,4,2012-04-22T10:55:30Z,0,0,,<p>Apparent scam artist.</p>,,,,TRUE,,,,,
14,84,49,2012-06-18T00:17:42Z,0,1,<p>For stupid and irrelevant insults you have been given a warning.</p>,<p>Irrelevant and annoying insults.</p>,,,,TRUE,,,,,
15,19,1,2012-07-05T12:02:17Z,0,0,,<p>Banned at user's request.</p>,,,,TRUE,,,,,
16,84,49,2012-07-07T00:03:34Z,0,1,,<p>Inciting general autistic behavior</p>,,PT6H,,TRUE,,,,,
214,14018,9668,2017-02-26T06:34:30Z,2,1,"<p>
	We are trying to help you come to a more comprehensive and holistic understanding of Fascism/NS, if you're not going to participate in constructive arguments, if you're going to be insolent towards other people who, frankly, are much more well read and understand the worldview much better than you, as well as start forum drama because you're too lazy to read the intro materials then I'm going to give you a warning.
</p>",,,,,TRUE,forums,7420,179288,-1,forums-comment
18,271,14,2012-07-19T00:57:43Z,0,1,,"
<p>He fucking posted this:</p>
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentcommentid=""29687"" data-ipsquote-username=""NatCap"" data-cite=""NatCap"" data-ipsquote-timestamp=""1342659114"" data-ipsquote-contentapp=""core"" data-ipsquote-contenttype=""modcp"" data-ipsquote-contentid=""18""><div>Silence, boy. I know your game. You feel entitled to the younger females due to your age. No way, Jose.</div></blockquote>
<p>More details can be found in the relevant Corps Compound thread. I hope he is banned, but I absolutely have to do something about this.</p>
",,,,TRUE,,,,,
19,271,49,2012-07-20T01:00:43Z,0,0,,<p>for being a faggot. Read his comments to black corps members</p>,,,,TRUE,,,,,
20,271,14,2012-07-20T01:00:47Z,0,0,,"<p>Told a Moderator to go fuck himself. Insolence, flaming.</p>",,,,TRUE,,,,,
21,335,49,2012-08-03T22:42:43Z,0,1,,<p>misconduct in introductions thread</p>,,,,TRUE,,,,,
22,329,1,2012-08-08T06:49:54Z,0,0,,<p>Not to be unbanned until I unban.</p>,,,,TRUE,,,,,
23,446,49,2012-09-01T23:30:09Z,0,1,,<p>for being a faggot</p>,,,,TRUE,,,,,
24,563,49,2012-09-21T19:58:17Z,0,1,,<p>&lt;p&gt;for being a faggot&lt;/p&gt;</p>,,P10D,,TRUE,,,,,
