mt_id,mt_date,mt_title,mt_starter_id,mt_start_time,mt_last_post_time,mt_to_count,mt_to_member_id,mt_replies,mt_first_msg_id,mt_is_draft,mt_is_deleted
1,2011-09-16T03:49:58Z,Introductions are important,1,2011-09-16T03:49:58Z,2011-09-16T03:49:58Z,1,23,0,1,FALSE,TRUE
2,2011-09-16T11:54:08Z,Our hosts,11,2011-09-16T11:54:07Z,2011-09-16T15:44:51Z,1,1,4,2,FALSE,FALSE
3,2011-09-17T01:43:49Z,Re: Nova Roma,16,2011-09-17T01:43:49Z,2011-09-17T01:59:50Z,1,14,1,7,FALSE,TRUE
5,2011-09-20T14:20:14Z,Introductions are important,1,2011-09-20T14:20:14Z,2011-09-20T14:42:17Z,1,20,1,12,FALSE,TRUE
6,2011-09-22T14:12:17Z,msn,1,2011-09-22T14:12:17Z,2011-09-22T14:17:57Z,1,11,1,14,FALSE,TRUE
8,2011-09-22T21:21:22Z,Do you have Skype or AIM or MSN?,2,2011-09-22T21:21:22Z,2011-09-23T00:14:21Z,2,8,7,17,FALSE,FALSE
10,2011-09-23T20:44:56Z,Introductions are important,1,2011-09-23T20:44:56Z,2011-09-23T20:44:56Z,1,25,0,26,FALSE,TRUE
11,2011-09-24T09:40:39Z,Introductions are important,1,2011-09-24T09:40:39Z,2011-09-24T12:12:39Z,1,39,2,27,FALSE,TRUE
12,2011-09-25T17:18:50Z,Welcome back,14,2011-09-25T17:18:50Z,2011-09-26T18:52:57Z,1,35,2,31,FALSE,FALSE
13,2011-09-26T01:05:50Z,Could I have the banner without text and without the symbol?,2,2011-09-26T01:05:49Z,2011-09-26T01:05:49Z,1,7,0,32,FALSE,FALSE
15,2011-09-26T19:58:25Z,Revolt Against the Modern World,11,2011-09-26T19:58:25Z,2011-09-27T03:07:24Z,1,3,3,36,FALSE,FALSE
59,2011-11-04T02:57:09Z,Fascist archive,7,2011-11-04T02:57:09Z,2011-11-05T04:02:04Z,1,4,3,184,FALSE,TRUE
16,2011-09-27T21:18:52Z,All you have to do is post a youtube link,2,2011-09-27T21:18:52Z,2011-09-27T23:05:10Z,1,16,3,40,FALSE,FALSE
17,2011-09-30T07:26:30Z,Presidency,11,2011-09-30T07:26:30Z,2011-10-02T16:30:22Z,2,43,1,44,FALSE,FALSE
18,2011-09-30T11:42:31Z,Real quick,35,2011-09-30T11:42:31Z,2011-09-30T11:53:03Z,1,9,1,45,FALSE,TRUE
89,2011-12-20T20:36:41Z,A thread I would like to share,89,2011-12-20T20:36:41Z,2011-12-21T20:35:54Z,2,9,2,290,FALSE,FALSE
20,2011-10-01T17:23:10Z,Password,2,2011-10-01T17:23:10Z,2011-10-01T17:23:10Z,1,1,0,48,FALSE,FALSE
21,2011-10-02T05:36:26Z,Introductions are important,1,2011-10-02T05:36:26Z,2011-10-02T07:37:20Z,1,37,1,49,FALSE,TRUE
23,2011-10-02T20:25:31Z,forum structure,47,2011-10-02T20:25:31Z,2011-10-03T01:21:13Z,1,1,2,54,FALSE,FALSE
88,2011-12-19T20:23:53Z,Your ideology,89,2011-12-19T20:23:53Z,2011-12-19T22:26:49Z,2,54,1,288,FALSE,FALSE
24,2011-10-04T05:52:15Z,Introductions are important,1,2011-10-04T05:52:14Z,2011-10-04T05:52:14Z,1,47,0,58,FALSE,TRUE
25,2011-10-04T06:47:53Z,book,1,2011-10-04T06:47:53Z,2011-10-04T07:03:07Z,1,47,1,59,FALSE,TRUE
26,2011-10-05T14:24:42Z,What do you think of this?,2,2011-10-05T14:24:42Z,2011-10-06T12:06:56Z,1,35,2,61,FALSE,FALSE
753,2012-09-19T04:32:43Z,Shalom Aleichem,317,2012-09-19T04:32:43Z,2012-11-27T01:42:56Z,2,112,12,3418,FALSE,FALSE
219,2012-02-24T00:48:31Z,National Trotskyism?,0,2012-02-24T00:48:31Z,2012-02-24T01:35:51Z,1,35,1,753,FALSE,FALSE
28,2011-10-06T12:16:36Z,Herp,35,2011-10-06T12:16:36Z,2011-10-06T17:13:54Z,1,4,1,65,FALSE,TRUE
31,2011-10-08T22:05:57Z,Hello,0,2011-10-08T22:05:57Z,2011-10-08T22:44:03Z,1,2,3,73,FALSE,TRUE
32,2011-10-08T22:23:53Z,I&#39;ve a feeling me and you are going to get on well,40,2011-10-08T22:23:53Z,2012-02-07T05:34:48Z,1,0,3,76,FALSE,FALSE
33,2011-10-09T18:02:06Z,Message on hotmail,12,2011-10-09T18:02:04Z,2011-10-09T19:15:21Z,1,7,1,78,FALSE,FALSE
35,2011-10-11T12:54:34Z,Do you know what videos these clips were taken from?,2,2011-10-11T12:54:34Z,2011-10-11T22:25:28Z,1,7,2,82,FALSE,FALSE
36,2011-10-11T12:54:57Z,Do you know what videos these clips were taken from?,2,2011-10-11T12:54:57Z,2011-10-11T21:18:30Z,1,35,1,83,FALSE,FALSE
37,2011-10-12T10:36:03Z,Hello,35,2011-10-12T10:36:03Z,2011-10-13T01:18:09Z,1,17,1,91,FALSE,TRUE
38,2011-10-12T10:36:31Z,hey,35,2011-10-12T10:36:31Z,2011-10-14T22:44:17Z,1,8,4,92,FALSE,TRUE
40,2011-10-13T14:07:58Z,You...,35,2011-10-13T14:07:58Z,2011-11-01T17:19:05Z,1,3,14,99,FALSE,TRUE
41,2011-10-13T20:41:35Z,contacts,1,2011-10-13T20:41:34Z,2011-10-13T20:52:10Z,1,54,1,105,FALSE,TRUE
42,2011-10-15T11:16:28Z,I&#39;ve a feeling we&#39;ll get on fine,40,2011-10-15T11:16:28Z,2011-10-15T22:00:03Z,2,54,1,113,FALSE,FALSE
44,2011-10-25T08:24:24Z,hey,35,2011-10-25T08:24:24Z,2011-10-25T09:07:16Z,1,2,1,124,FALSE,TRUE
