sys_module_id,sys_module_application,sys_module_key,sys_module_protected,sys_module_position,sys_module_area,sys_module_default,sys_module_default_controller
1,core,overview,FALSE,1,admin,FALSE,dashboard
2,core,system,TRUE,2,admin,FALSE,login
3,core,applications,FALSE,3,admin,FALSE,applications
4,core,settings,FALSE,4,admin,FALSE,general
5,core,members,FALSE,5,admin,FALSE,members
6,core,membersettings,FALSE,6,admin,FALSE,general
7,core,staff,FALSE,7,admin,FALSE,moderators
8,core,customization,FALSE,8,admin,FALSE,skins
9,core,languages,FALSE,9,admin,FALSE,languages
10,core,editor,FALSE,10,admin,FALSE,toolbar
11,core,bulkmail,FALSE,11,admin,FALSE,bulkmail
12,core,livesearch,FALSE,12,admin,FALSE,
13,core,promotion,FALSE,13,admin,FALSE,
39,core,activitystats,FALSE,2,admin,FALSE,
15,core,stats,FALSE,15,admin,FALSE,
16,core,support,FALSE,16,admin,FALSE,
17,core,logs,FALSE,17,admin,FALSE,admin
18,core,logsettings,FALSE,18,admin,FALSE,
19,core,diagnostics,FALSE,19,admin,FALSE,
20,core,discovery,FALSE,20,admin,FALSE,
21,core,system,TRUE,21,front,FALSE,splash
22,core,members,FALSE,22,front,FALSE,profile
23,core,search,FALSE,4,front,FALSE,search
24,core,messaging,FALSE,24,front,FALSE,messenger
25,core,online,FALSE,25,front,FALSE,online
26,core,modcp,FALSE,26,front,FALSE,modcp
27,core,sitemap,FALSE,27,front,FALSE,
28,core,contact,FALSE,28,front,FALSE,
29,core,status,FALSE,29,front,FALSE,
38,core,clubs,FALSE,1,admin,FALSE,
31,core,discover,FALSE,1,front,TRUE,streams
32,core,staffdirectory,FALSE,32,front,FALSE,directory
33,forums,forums,FALSE,1,admin,FALSE,
34,forums,stats,FALSE,2,admin,FALSE,topics
35,forums,forums,FALSE,3,front,FALSE,index
36,calendar,calendars,FALSE,1,admin,FALSE,
37,calendar,calendar,FALSE,2,front,FALSE,view
40,core,messengerstats,FALSE,3,admin,FALSE,
41,core,clubs,FALSE,6,front,FALSE,directory
42,core,promote,FALSE,2,front,FALSE,ourpicks
43,calendar,venues,FALSE,1,admin,FALSE,
