perm_id,app,perm_type,perm_type_id,perm_view,perm_2,perm_3,perm_4,perm_6,owner_only
1,members,profile_view,1,"2,3,4,6,7,10,13",,,,,FALSE
2,core,help,1,"2,3,4,6,7,10,13",,,,,FALSE
3,forums,forum,1,"2,13,4,6,10,17,19,18,20",,,,,FALSE
125,forums,forum,2,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20",4,"6,10,13,4,19,18,20",,FALSE
110,forums,forum,92,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
7,forums,forum,5,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
118,forums,forum,100,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
9,forums,forum,7,"4,2,13,6,10,17,19,18,20",,,,,TRUE
109,forums,forum,91,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
108,forums,forum,90,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
12,forums,forum,10,"2,13,4,6,10,3,17,19,18,20",,,,,FALSE
14,forums,forum,12,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
15,forums,forum,13,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
16,forums,forum,14,"4,2,13,6,10,17,19,18,20","4,2",4,4,"4,6,10",FALSE
17,forums,forum,15,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
18,forums,forum,16,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
19,forums,forum,17,"2,13,4,6,10,17,19,18,20",,,,,FALSE
182,forums,forum,160,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
21,forums,forum,19,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
22,forums,forum,20,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
184,forums,forum,162,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
183,forums,forum,161,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
26,forums,forum,24,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
27,forums,forum,25,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
28,forums,forum,26,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
32,forums,forum,30,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
33,forums,forum,31,"4,2,13,6,10,17,19,18,20","4,2",4,4,"4,6,10",FALSE
35,forums,forum,33,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
36,forums,forum,34,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
37,forums,forum,35,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
181,forums,forum,36,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",4,FALSE
39,forums,forum,37,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
40,forums,forum,38,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
41,forums,forum,39,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
42,forums,forum,40,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
143,forums,forum,123,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
142,forums,forum,122,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10",,FALSE
45,forums,forum,43,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
46,forums,forum,44,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
47,forums,forum,45,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
85,forums,forum,46,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
99,forums,forum,83,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
94,forums,forum,78,"4,13,6,10","4,13,6,10","4,13,6,10","4,13,6,10","4,6,10",FALSE
63,forums,forum,61,"6,10,13,4,2,17,19,18,20","6,10,13,4,2,17,19,18,20","6,10,13,4,17,19,18,20","6,10,13,4,17,19,18,20",,FALSE
92,forums,forum,75,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
101,forums,forum,81,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
93,forums,forum,56,"4,2,13,6,10,7,17,19,18,20",,,,,FALSE
90,forums,forum,62,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
70,forums,forum,63,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
71,forums,forum,64,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
91,forums,forum,65,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
76,forums,forum,69,"4,2,13,6,10,17,19,18,20","4,2",4,4,"4,6,10",FALSE
78,forums,forum,71,"2,13,4,6,10,17,19,18,20","2,13,4,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
80,forums,forum,73,"2,13,4,6,10,17,19,18,20","2,13,4,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
89,forums,forum,77,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
87,forums,forum,76,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
98,forums,forum,82,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20","4,6,10",FALSE
102,forums,forum,84,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
103,forums,forum,85,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
104,forums,forum,86,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
105,forums,forum,87,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
106,forums,forum,88,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
111,forums,forum,93,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
112,forums,forum,94,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
113,forums,forum,95,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
114,forums,forum,96,"4,2,13,6,10,17,19,18,20","4,2",4,4,,FALSE
115,forums,forum,97,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
116,forums,forum,98,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
117,forums,forum,99,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
119,forums,forum,101,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
122,forums,forum,103,"4,2,13,6,10,17,19,18,20","4,2,13,6,10,17,19,18,20","4,13,6,10,19,18,20","4,13,6,10,19,18,20",,FALSE
