pid,start_date,choices,starter_id,votes,poll_question,poll_view_voters
1,2011-12-13T15:25:38Z,"{""1"":{""question"":""Whodunnit?"",""choice"":{""1"":""Muslims"",""2"":""Breivik""},""votes"":{""1"":9,""2"":4}}}",4,13,,FALSE
3,2012-02-14T00:03:33Z,"{""1"":{""question"":""Democracy has failed."",""choice"":{""1"":""NO MORE BROTHERS WARS"",""2"":""POOLS CLOSED""},""votes"":{""1"":9,""2"":5,""3"":null}}}",4,27,THERE WAS A HUGE EDITING WAR AND WHAT WE HAVE LEARNED IS,FALSE
4,2012-03-06T16:28:36Z,"{""1"":{""question"":""Demographics gathered; thank you for your participation"",""choice"":{""1"":""Young"",""2"":""Young Adult"",""3"":""Adult"",""4"":""Older Adult"",""5"":""The grave calls me...""},""votes"":{""1"":1,""2"":31,""3"":5,""4"":3,""5"":1}}}",14,41,Answer the Question,TRUE
6,2012-05-11T01:31:58Z,"{""1"":{""question"":""Do you have insomnia?"",""choice"":{""1"":""Yes"",""2"":""No""},""votes"":{""1"":17,""2"":23}}}",0,40,Do you have insomnia?,FALSE
11,2012-09-06T04:27:51Z,"{""1"":{""question"":""How would peer-to-peer and torrent downloads be handled?"",""choice"":{""1"":""It should be completely restricted to cut down on piracy of products and bandwidth resources"",""2"":""Well, I use it sometimes but not that often, so leave it as is now (illegal but mostly unregulated, like in the U.S.)"",""3"":""P2P and torrents are still good for legal purposes (free and open-source distribution) Regulate it to cut down on illegal content"",""4"":""P2P sharing should be fully legal, as far as I&#39;m concerned""},""votes"":{""1"":1,""2"":5,""3"":6,""4"":8}}}",274,20,How would peer-to-peer and torrent downloads be handled in such a society?,FALSE
18,2013-08-10T01:03:42Z,"{""1"":{""question"":""Wasn&#39;t OP a faggot?"",""choice"":{""1"":""Probably Knight, readings off the charts"",""2"":""Might not be Knight, even though they have the same IP""},""votes"":{""1"":20,""2"":4}}}",6201,25,How Gay is the OP?,TRUE
20,2013-08-19T20:44:13Z,"{""1"":{""question"":""Which one should KU ban?"",""multi"":1,""choice"":{""1"":""VikingHeritage"",""2"":""InTheRight""},""votes"":{""1"":15,""2"":11}}}",0,23,Mexican or Muslim Immigrants which would you rather ?,FALSE
23,2013-10-22T13:27:17Z,"{""1"":{""question"":""Where do you live?"",""choice"":{""1"":""Midwest"",""2"":""East Coast"",""3"":""South"",""4"":""Pacific NorthWest"",""5"":""West\/South West""},""votes"":{""1"":9,""2"":19,""3"":12,""4"":5,""5"":8}}}",35,53,Where do you live?,FALSE
24,2014-03-15T05:34:15Z,"{""1"":{""question"":""Will the fascists crush democracy?"",""choice"":{""1"":""Aye. Cruz mea lux"",""2"":""No. The SPLC will fight to the death. "",""3"":""Putin will invade Times Square first"",""4"":""This is clearly a plot by Crab People""},""votes"":{""1"":0,""2"":2,""3"":5,""4"":15}}}",6122,22,,FALSE
25,2014-04-30T20:33:11Z,"{""1"":{""question"":""Is global climate change anthropogenic (human caused)?"",""choice"":{""1"":""Yes. The data overwhelmingly support it. [or other reasoning]"",""2"":""No. There are not enough data to prove it. [or other reasoning]""},""votes"":{""1"":12,""2"":16}}}",0,28,Climate Change,TRUE
26,2014-05-13T20:34:58Z,"{""1"":{""question"":""Is racism integral to the belief in a fascist regime?"",""choice"":{""1"":""Yes, Fascism cannot be true without racism"",""2"":""No, racism is not an integral aspect of Fascism"",""3"":""I don&#39;t have an opinion\/I do not care either way""},""votes"":{""1"":45,""2"":9,""3"":2}}}",0,56,Racism in Fascist Ideas and Beliefs,TRUE
27,2014-05-21T23:15:56Z,"{""1"":{""question"":""Do you believe the holyhoax happened? [IM 2014]"",""choice"":{""1"":""I do believe the holocaust happened"",""2"":""AHAHAHA 0\/5 JIDF fuck off KIKE""},""votes"":{""1"":6,""2"":53}}}",1,59,Do you believe the holyhoax happened? [IM 2014],TRUE
28,2014-08-06T18:40:51Z,"{""1"":{""question"":""Which Social Networking Website Do You Use?"",""multi"":1,""choice"":{""1"":""Facebook "",""2"":""VK"",""3"":""Myspace"",""4"":""Other Website Not Listed""},""votes"":{""1"":21,""2"":3,""3"":0,""4"":5}}}",7636,24,Which Social Networking Website Do You Use?,TRUE
29,2014-08-16T04:46:31Z,"{""1"":{""question"":""Is anyone here &quot;Straight Edge&quot;? "",""choice"":{""1"":""Yes, too alpha for drugs. "",""2"":""Kinda, dont do drugs, but drink and sometimes smoke"",""3"":""Nah, I use drugs and Alcohol to escape from the decline of the west""},""votes"":{""1"":49,""2"":42,""3"":12}}}",7846,103,Is anyone here &quot;Straight Edge&quot;? ,TRUE
30,2014-11-24T19:46:59Z,"{""1"":{""question"":""how charismatic are you?"",""multi"":1,""choice"":{""1"":""alpha as fuck cult leader "",""2"":""normal cis male scum"",""3"":""awkward creep"",""4"":""socially retarded basement dweller""},""votes"":{""1"":12,""2"":20,""3"":4,""4"":5}}}",7508,34,,FALSE
31,2014-12-23T19:43:59Z,"{""1"":{""question"":""Do you really watch anime"",""choice"":{""1"":""Yes"",""2"":""No"",""3"":""Yes but only &quot;Ro-Kyu-Bu&#33;&quot; so I could write a review for TotenkopfAnime [Obligatory Ironic Third Choice]""},""votes"":{""1"":8,""2"":5,""3"":3}}}",132,16,,TRUE
33,2015-01-29T04:57:39Z,"{""1"":{""question"":""Where do you call home?"",""choice"":{""1"":""Northeast"",""2"":""South"",""3"":""Midwest"",""4"":""Southwest"",""5"":""West coast""},""votes"":{""1"":17,""2"":38,""3"":25,""4"":8,""5"":14}}}",6113,102,Where do you reside? Plan to reside in the next few years,FALSE
35,2015-03-26T10:13:25Z,"{""1"":{""question"":""Gdje se nalazite?"",""choice"":{""1"":""Hrvatska"",""2"":""Srbija"",""3"":""Bosna\/Hercegovina"",""4"":""Republika Srpska"",""5"":""Kosovo"",""6"":""Makedonija"",""7"":""Crna Gora"",""8"":""Slovenija""},""votes"":{""1"":4,""2"":4,""3"":1,""4"":1,""5"":0,""6"":0,""7"":0,""8"":1}}}",9267,11,Lokacjia,FALSE
36,2015-04-01T22:02:49Z,"{""1"":{""question"":""Where do you live?"",""choice"":{""1"":""With parents "",""2"":""at school\/camp"",""3"":""my own home"",""4"":""hobo\/squatter""},""votes"":{""1"":36,""2"":4,""3"":17,""4"":4}},""2"":{""question"":""Do have a job?"",""choice"":{""1"":""Yes"",""2"":""No, NEET master race reporting in"",""3"":""hobo""},""votes"":{""1"":34,""2"":23,""3"":4}},""3"":{""question"":""class?"",""choice"":{""1"":""Higher Upper class (but babe, im the fuhrer&#33;)"",""2"":""Upper class"",""3"":""Higher middle class"",""4"":""middle class"",""5"":""lower class""},""votes"":{""1"":2,""2"":2,""3"":10,""4"":32,""5"":15}}}",7508,61,,FALSE
37,2015-07-15T12:47:43Z,"{""1"":{""question"":""What was best\/least bad Russia?"",""choice"":{""1"":""The Russian Empire"",""2"":""The Soviet union (under Stalin)""},""votes"":{""1"":35,""2"":2}}}",9240,37,Greater slavland,FALSE
38,2015-07-28T10:02:50Z,"{""1"":{""question"":""Do gas chambers work on plants?"",""choice"":{""1"":""No"",""2"":""Maybe if you&#39;re extra-thorough..."",""3"":""They put cyanide in their fucking seeds""},""votes"":{""1"":0,""2"":3,""3"":4}}}",0,7,u wot,TRUE
