id,item_id,member,rating,ip
1,4287,1558,5,83.233.70.12
2,4287,958,5,188.228.43.35
3,4287,6359,5,69.35.163.246
52,8329,13901,5,2605:6000:554a:f600:70ab:e9c2:a48b:6b2a
5,4287,7,5,91.125.204.107
6,4287,125,5,77.38.156.66
7,4287,2820,5,99.249.195.215
8,4287,2306,5,88.193.135.245
9,4287,6310,5,75.157.149.158
10,5869,9679,5,66.169.97.70
11,5869,6113,5,74.65.55.196
51,4287,13558,5,2601:280:4700:289e:e9ea:eabd:5eb3:6d45
13,5869,1558,1,83.233.71.27
14,5869,7600,5,24.51.110.134
15,5869,6249,5,108.71.197.158
16,5869,9388,5,86.93.229.17
17,5869,9769,5,92.18.10.232
18,5130,1,5,5.228.77.158
19,6226,6113,5,74.65.55.196
21,6446,9240,5,88.19.113.66
22,6446,6249,5,174.125.1.88
23,6226,9705,5,47.32.23.13
24,6446,13029,5,24.61.83.159
25,6957,13106,5,90.194.167.119
26,6957,9705,5,24.183.113.117
27,6957,13307,5,70.79.20.246
28,6957,13274,5,73.229.170.128
29,6957,9626,5,89.153.157.91
30,6957,13510,5,70.106.191.85
31,6957,12871,5,107.15.118.25
32,6957,13263,5,107.185.95.33
33,5130,13532,5,2602:30a:2c29:1e70:8ddb:82fb:614b:3a00
34,5130,13425,5,184.3.100.93
35,5130,125,5,77.38.156.66
36,5130,9303,5,2001:569:fc37:f800:47b:bf74:39a8:6ac4
37,6957,9619,5,50.4.209.26
38,6957,13947,5,191.251.86.28
39,5130,13893,5,31.22.190.109
40,6957,13771,5,50.127.57.11
41,5130,14214,5,207.242.7.250
42,5130,14041,5,90.192.116.57
43,6226,13075,5,37.47.5.41
44,6957,13488,5,179.218.52.70
45,6957,14201,5,69.4.142.61
46,6957,10083,5,88.222.144.45
47,6957,9861,5,97.84.83.114
48,6957,13893,5,92.250.104.133
49,6957,13342,5,145.236.214.155
50,5130,13558,5,2601:280:4700:289e:a590:fe40:38d:3122
53,8329,14651,5,88.115.145.22
54,8329,14494,5,95.211.147.134
55,8329,13551,5,155.4.215.218
56,8329,9861,5,2601:643:2:8afe:1d29:fac3:2814:c31d
57,8329,13692,5,68.205.82.157
58,8329,14041,5,2a02:c7d:b966:8e00:e87e:76de:ac51:149e
59,8329,9240,5,88.6.76.56
60,8329,13075,5,37.47.8.97
61,8329,14238,5,209.221.91.250
62,8329,13880,4,89.253.136.92
63,8329,14382,5,88.88.161.18
64,8329,14407,5,50.205.217.202
65,8329,9353,5,109.122.122.249
66,8329,13558,5,2601:280:4d80:c2c5:71a4:742f:a89c:9374
67,8329,9303,5,50.92.71.54
68,8329,14140,5,162.243.11.52
69,8329,13771,5,184.16.172.25
70,8329,14201,5,204.154.223.70
71,8329,14125,5,72.76.150.6
72,8329,12524,5,174.30.50.63
73,8329,13307,5,24.80.47.200
74,8329,13259,5,204.237.80.202
75,8329,14161,5,89.201.184.87
76,8329,14404,5,18.85.22.204
77,8329,14434,5,61.68.177.51
78,8329,14255,4,81.111.209.3
79,8329,1,5,5.228.74.139
80,8329,14452,5,70.253.196.126
81,8329,14268,5,5.15.187.125
82,8329,14309,5,95.105.217.95
83,8329,10257,5,114.198.12.156
84,8329,14419,5,69.47.45.118
85,8329,14399,5,173.244.48.161
86,8329,13266,4,2601:6c5:8080:3f80:bd41:7cb:63e5:a174
87,8329,13582,5,173.177.134.92
88,8329,13527,5,105.226.162.12
89,8329,14564,5,2a02:587:a024:6d00:dcdf:d628:42da:4eca
90,8329,14949,5,2a02:c7f:8c48:8d00:b178:2aac:9c1a:403
91,8329,9705,5,75.128.255.138
92,8329,6155,5,156.34.224.111
93,8329,13923,5,172.68.143.61
94,8329,14954,5,162.158.69.188
