id,rid,comment,comment_by,comment_date,author_name,ip_address
1,1,"This is an anti-fascist point of view of course, but I don't see anything reprehensible in it.",9,2011-12-24T09:57:56Z,Woman in Black,88.147.17.237
13,10,done,49,2012-12-27T20:38:44Z,Владимир_Борисов,72.78.105.101
26,74,"<p>Don't report people over differences of opinion</p>
",4,2014-01-02T11:51:34Z,Mierce,82.25.135.143
30,89,"<p>No.</p>
",1,2015-05-13T16:30:24Z,Александр Славрос,5.228.66.104
31,89,"<p>I'll need a transplant for my sides :(</p>
",2170,2015-05-13T20:18:43Z,Zeiger,69.70.181.10
32,89,<p>this is just too good.</p>,9475,2015-05-13T21:47:00Z,mengligiraykhan,95.142.136.121
33,89,"<p>&gt;Puts something on internet.</p>
<p>&gt;Expects it to remain in one place.</p>
<p>&nbsp;</p>
<p>lol.</p>
",2220,2015-05-15T02:16:03Z,Kulturkampf,122.128.196.30
34,90,Who are you again?,2170,2015-05-21T06:36:39Z,Zeiger,66.102.6.221
35,90,<p>He's the guy that wanted us to remove his drawings I believe.&nbsp;</p>,9475,2015-05-21T06:57:15Z,mengligiraykhan,95.142.136.124
36,90,"<p>Oh yeah, sure &gt;we're the autists, not the the moron who wrote a wall-o-text ""na-na-na-na-na-pffffft"" complaint. Fucking kek.</p>
",1,2015-05-21T07:40:49Z,Александр Славрос,5.228.66.104
37,90,"<p>This is what dreams are made of.</p>
",7,2015-05-21T10:29:30Z,DJ.Fucking-Retard,146.200.41.130
38,90,"<p>Hey dude did you ever think to look around the place before you made your retarded ass comment?</p>
",7,2015-05-21T10:30:19Z,DJ.Fucking-Retard,146.200.41.130
39,92,"<p>This isn't a hugbox, deal with it.</p>
",1,2015-09-02T07:04:10Z,Александр Славрос,5.228.84.129
40,94,"<p>HORIBIBBLE!</p>
",1,2015-10-30T18:12:51Z,Александр Славрос,5.228.84.129
41,95,"<p>gajillion</p>
",1,2015-10-30T18:46:19Z,Александр Славрос,5.228.84.129
