id,class,content_id,perm_id,num_reports,num_comments,first_report_by,first_report_date,last_updated,author
1,IPS\forums\Topic\Post,6049,103,1,1,11,2011-12-23T23:53:04Z,2011-12-24T09:57:56Z,94
10,IPS\forums\Topic\Post,46608,117,1,1,2099,2012-12-27T20:31:32Z,2012-12-27T21:54:16Z,1
14,IPS\forums\Topic\Post,51441,106,1,0,2,2013-02-19T03:52:40Z,2013-02-19T04:26:46Z,47
58,IPS\forums\Topic\Post,63009,0,1,0,6174,2013-07-24T06:14:10Z,2013-07-24T06:20:33Z,0
66,IPS\forums\Topic\Post,65398,106,1,0,6173,2013-08-21T12:46:49Z,2013-08-21T14:24:22Z,16
69,IPS\forums\Topic\Post,68874,193,1,0,2,2013-09-28T08:18:06Z,2013-09-28T08:27:39Z,64
70,IPS\forums\Topic\Post,68873,106,1,0,2,2013-09-28T08:18:12Z,2013-09-28T08:27:39Z,56
74,IPS\forums\Topic\Post,72083,105,1,1,0,2014-01-02T10:55:27Z,2014-01-02T11:51:34Z,9475
89,IPS\forums\Topic\Post,87110,32,1,4,0,2015-05-13T16:14:59Z,2015-05-15T03:03:00Z,1558
90,IPS\forums\Topic\Post,113172,125,1,5,0,2015-05-21T03:05:23Z,2015-05-22T15:40:18Z,1
91,IPS\forums\Topic\Post,122201,121,1,0,7496,2015-08-18T02:39:06Z,2015-08-18T02:45:11Z,85
92,IPS\forums\Topic\Post,123532,193,1,1,9601,2015-09-02T03:51:07Z,2015-09-02T07:04:16Z,9569
93,IPS\forums\Topic\Post,123528,193,1,0,9601,2015-09-02T03:56:18Z,2015-09-02T07:04:31Z,9569
94,IPS\forums\Topic\Post,131690,117,1,1,1558,2015-10-30T18:10:47Z,2015-10-30T18:12:58Z,9571
95,IPS\forums\Topic\Post,131695,117,1,1,1558,2015-10-30T18:45:08Z,2015-10-30T18:46:23Z,1
96,IPS\forums\Topic\Post,133461,94,1,1,1558,2015-11-13T00:40:38Z,2015-11-13T06:04:08Z,9393
97,IPS\forums\Topic\Post,134536,87,1,0,9707,2015-11-20T16:32:36Z,2015-11-20T16:41:26Z,49
98,IPS\forums\Topic\Post,136259,91,1,0,9353,2015-12-03T21:58:01Z,2015-12-03T22:09:03Z,6155
99,IPS\core\Messenger\Message,16028,0,1,1,9581,2015-12-09T07:57:39Z,2015-12-09T09:07:36Z,9149
100,IPS\forums\Topic\Post,139910,106,1,1,9549,2016-01-04T14:42:45Z,2016-01-04T14:50:04Z,64
101,IPS\forums\Topic\Post,142974,91,1,3,9852,2016-01-29T12:22:32Z,2016-01-30T07:06:08Z,9496
102,IPS\forums\Topic\Post,143366,121,1,0,9288,2016-02-01T22:44:36Z,2016-02-01T23:07:45Z,89
103,IPS\forums\Topic\Post,146247,36,1,0,6269,2016-02-29T00:14:01Z,2016-02-29T00:28:25Z,9
105,IPS\forums\Topic\Post,149558,100,1,1,0,2016-04-02T22:33:35Z,2016-04-02T22:53:08Z,9958
106,IPS\forums\Topic\Post,8845,117,1,0,7508,2016-04-19T20:59:26Z,2016-04-19T20:59:26Z,29
107,IPS\forums\Topic\Post,149306,121,1,2,10460,2016-04-20T19:05:51Z,2016-04-20T19:31:50Z,10460
108,IPS\forums\Topic\Post,154070,94,1,0,9549,2016-05-16T12:41:01Z,2016-05-16T12:41:01Z,9720
109,IPS\forums\Topic\Post,154190,112,1,0,9534,2016-05-17T16:51:31Z,2016-05-17T16:51:31Z,7508
110,IPS\forums\Topic\Post,154313,106,1,0,9334,2016-05-19T08:17:12Z,2016-05-19T08:17:12Z,9334
111,IPS\forums\Topic\Post,155088,100,1,0,9549,2016-05-26T19:55:56Z,2016-05-26T19:55:56Z,13067
