id,rid,report,report_by,date_reported,ip_address
1,1,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-username=""Frost Hammer"" data-cite=""Frost Hammer"" data-ipsquote-contentapp=""core"" data-ipsquote-contenttype=""reports"" data-ipsquote-contentid=""1""><div>Before I start, I'd like to clarify that I am not a communist, socialist, anarchist, or a liberal.  I'm just too left-wing to be considered a conservative.  I believe that the government should serve only to protect its citizens from harm, theft, and foreign military threats.  A government that tries to legislate in ""the National interest"" or ""The common good"" is obtrusive, and virtually always ends up creating more problems in the process.  So now that I've established that, I'd like to point out the biggest flaws in fascist ideology, and for that matter communist and socialist ideology as well.<p>While you might think that you're totally different from communists, you share the same social interference and ""we're gonna do what's best for you"" policies, which are the biggest problem with authoritarian governments whether you're a Baptist fundamentalist Neo-Nazi or an atheist, homosexual Marxist.</p>
<ul><li>I'm sure most of you expect that, if you get your way and a fascist state is established, you expect yourself to be part of the government, or at least you expect the government to fit your ideology.  That alone sets you off to a bad start.<br /></li>
<li>Government doesn't shape society, society shapes government.  No matter how strong a government is, it only has power because it operates within social guidelines and is thus tolerated by society.  Adolf Hitler's population would have lost faith in him rather quickly if he came out in, say, 1943, and said that he converted to Judaism, married a black woman, and became a pacifist.  The American government would quickly lose support if they started killing minorities and invading other countries unprovoked.  Hell, even the North Korean regime would be powerless if not for their isolationism, propaganda system, and ""education"" system.  The North Korean government has their society's support because they've managed to convince their society that every other country sucks, which was a long and complicated process.  If North Korean citizens knew what life was like in other countries, the government would quickly lose favor.<br />Just look at men compared to women, for example.  There is an extremely disproportionate amount of men compared to women in auto body, construction, electronics, engineering, the military, plumbing, etc.  Yet the government would face harsh and justified public outrage if they decided to ban women from working in these fields, because people's minds aren't any more affected by legislation than by anything else.  What could the government do if most people in the US started nonchalantly smoking marijuana in public?  Arrest everybody?  Tell them to stop?<br />Before you dismiss protestors and people who would oppose a fascist government's legislation as ""low-lifes"" and ""scum,"" I'd like to remind you that you envision yourselves agreeing with the fascist government, and many of you probably envision yourself being a part of it.  Now envision yourself being the sailor put out of a job because of isolationist trade regulations.  Imagine yourself being the writer told by the state that you're not allowed to write your own opinions any more, but you must write for the state.  And since fascist governments exercise authority in the name of ""The National Interest"" at whim, anyone at any time could be affected by some fascist governments.<br /></li>
<li>You're right about one thing.  Fascism would work out well if everybody cooperated with the government.  But the problem is, people don't cooperate with the government.  And it's not because they're ""low-lives"" or criminals who could simply be arrested.  It's because people don't naturally like being told what to do.  As phrased by Friedrich Hayek, ""The more the state ""plans,"" the more difficult planning becomes for the individual.""  And telling people that doing any of their own planning is unpatriotic and, God forbid, insubordinate doesn't help.<br /></li>
<li>The general notion that submission to the state is morally correct is pretty weak, to say the least.  In fact, it would be comical to think that the very premise of fascist ideology is based on nothing more than what you think is ""moral"" if it weren't so potentially harmful.  And what's even more ridiculous is that you think it's ""moral"" to submit to the government because you yourself support the government.  The hypocrisy is too much for me to handle.  If we are living under a communist government, there's nothing wrong with rebelling against the government, but if it's a fascist government that fits your ideology, then you are expected to support it.  Do I even need to explain why this is ridiculous?<br /></li>
</ul><p></p>
<p>And before you say that Fascist leaders in the past led their countries to ""greatness,"" I don't give a shit.  Greatness, which means power and glory, doesn't last.  The Greek Empire was powerful.  The Persian Empire was powerful.  Adolf Hitler's Empire was powerful.  Fascist Italy was powerful.  Not anymore.</p>
<p>Governments might have power to change the present, but no government has ever had an impact on society as much as they themselves were molded by society.  Governments don't create the future, they only establish ""glory"" and power in the present with war, propaganda, and relentless display of power.  The only ""greatness"" any government has produced was death, fear, and deceit.  For every ""great"" empire, there are thousands of people dead and enslaved, either by force or deceit.  The only way a country can leave an impact on the future is by allowing their society to create the future, and giving it room to run its natural course.</p>
</div></blockquote>
<p>This needs to be addressed.</p>
",11,1324684384,
10,10,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-username=""Sir Barza"" data-cite=""Sir Barza"" data-ipsquote-contentapp=""core"" data-ipsquote-contenttype=""reports"" data-ipsquote-contentid=""10""><div>Please, delete this.</div></blockquote>
<p>He wants that post deleted.</p>
",2099,1356640292,
14,14,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-username=""AlbertSakas"" data-cite=""AlbertSakas"" data-ipsquote-contentapp=""core"" data-ipsquote-contenttype=""reports"" data-ipsquote-contentid=""14""><div>Себя ничего не остается это уже меньше нужно болтать на эту тему с друзьями. Себе простую фразу ходу начавшегося разговора способность обеспечить ее и ее детей, а сегодня это определяется толщиной кошелька и потенциалом мужчины. Тут только либо психологи твоей “весовой катего-рии”. Случае. <p><a href=""http://domnbla.bugs3.com/art.php?n=563363"" rel=""external nofollow"">Сайт знакомств юрга</a> <a href=""http://domnbla.bugs3.com/art.php?n=263999"" rel=""external nofollow"">Игры где нужно раздевать девушек</a> </p>
<p><a href=""http://domnbla.bugs3.com/"" rel=""external nofollow"">http://domnbla.bugs3.com/</a></p>
</div></blockquote>
<p>Spammer</p>
",2,1361245960,
59,55,<p>spam profile</p>,1209,1366310513,
60,56,<p>more spam profile's</p>,1209,1366310573,
62,58,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentcommentid=""63009"" data-ipsquote-username=""FezWearingFascist"" data-cite=""FezWearingFascist"" data-ipsquote-timestamp=""1374632045""><div><div><p>For a start all I can say is: good riddance! This man was a active member in the 'real IRA' a group who continue to kill after the others handed over their weapondary. He was in trouble over a bombing attempt in a horse racing event not so long ago. He was found beaten and suffering from severe head trauma in a alleyway, where he was taken to hospital and pronounced dead soon. What do you people think of this 'tragedy'</p></div></div></blockquote>
<p> </p>Duplicate",6174,1374646450,
71,66,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentcommentid=""65398"" data-ipsquote-username=""RammStein"" data-cite=""RammStein"" data-ipsquote-timestamp=""1377088722""><div><div>
<p>Check this out,  Jews want Nigs out NOW </p>
<p><a href=""http://youtu.be/SEBEaBBWzB8"" rel=""external nofollow"">http://youtu.be/SEBEaBBWzB8</a></p>
</div></div></blockquote>
<p> </p>Hi I accidentally posted twice.  Please remove this one",6173,1377089209,
74,69,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentcommentid=""68874"" data-ipsquote-username=""Љотићевaц"" data-cite=""Љотићевaц"" data-ipsquote-timestamp=""1380353577""><div><div>
<p><a href=""http://www.reuters.com/article/2013/09/27/us-serbia-gaypride-idUSBRE98Q14K20130927"" rel=""external nofollow"">http://www.reuters.com/article/2013/09/27/us-serbia-gaypride-idUSBRE98Q14K20130927</a></p>
<p> </p>
<p>Belgrade 'Pride' canceled for the third year in a row amid the threat of nationalist reprisal.</p>
<p> </p>
<p>Patriarch Irinej of Serbia denounced it as a ""Parade of shame""</p>
<p> </p>
<p>Results of the 2010 march... mass rioting in the streets of Belgrade.</p>
<p> </p>
<p>
</p>
<div class=""ipsEmbeddedVideo""><div><iframe width=""480"" height=""270"" src=""https://www.youtube.com/embed/GXe22E9Iyl0?feature=oembed"" frameborder=""0"" allowfullscreen=""true""></iframe></div></div>
<p> </p>
<p> </p>
<p><img src=""https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-prn2/1379525_399230886869429_876881389_n.jpg"" alt=""1379525_399230886869429_876881389_n.jpg"" /></p>
<p> </p>
<p>(oopsmultipost)</p>
</div></div></blockquote>
<p> </p>Triple post",2,1380356286,
75,70,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentcommentid=""68873"" data-ipsquote-username=""Љотићевaц"" data-cite=""Љотићевaц"" data-ipsquote-timestamp=""1380353513""><div><div>
<p><a href=""http://www.reuters.com/article/2013/09/27/us-serbia-gaypride-idUSBRE98Q14K20130927"" rel=""external nofollow"">http://www.reuters.com/article/2013/09/27/us-serbia-gaypride-idUSBRE98Q14K20130927</a></p>
<p> </p>
<p>Belgrade 'Pride' canceled for the third year in a row amid the threat of nationalist reprisal.</p>
<p> </p>
<p>Patriarch Irinej of Serbia denounced it as a ""Parade of shame""</p>
<p> </p>
<p>Results of the 2010 march... mass rioting in the streets of Belgrade.</p>
<p> </p>
<p>
</p>
<div class=""ipsEmbeddedVideo""><div><iframe width=""480"" height=""270"" src=""https://www.youtube.com/embed/GXe22E9Iyl0?feature=oembed"" frameborder=""0"" allowfullscreen=""true""></iframe></div></div>
<p> </p>
<p> </p>
<p><img src=""https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-prn2/1379525_399230886869429_876881389_n.jpg"" alt=""1379525_399230886869429_876881389_n.jpg"" /></p>
</div></div></blockquote>
<p> </p>Triple post",2,1380356292,
79,74,"
<blockquote data-ipsquote="""" class=""ipsQuote"" data-ipsquote-contentcommentid=""72083"" data-ipsquote-username=""mengligiraykhan"" data-cite=""mengligiraykhan"" data-ipsquote-timestamp=""1384052388""><div><div>
<blockquote data-ipsquote="""" class=""ipsQuote""><div>
<p> </p>
<p> </p>
<div><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">You adhere to Turanism, Turk - would you not say that it is the same? You would not abandon your identity under such an union, yet you would be united by the overreaching Turanic culture with your brethren. Am I incorrect?</span></div>
</div></blockquote>
<p>You are correct in this that we would try to form a uniform culture that the turanic nation can adhere to, including a language. It is under debate that Hungary will ever constitute a full political member of this union, perhaps a key ally above everyone else, since we lack connection by land or sea, however, the reason why we claim to be Turanists is because we're uniting people of a common blood, under a single banner. Not people of different roots. </p>
<p> </p>
<blockquote data-ipsquote="""" class=""ipsQuote""><div><p><span style=""font-family:tahoma, helvetica, arial, sans-serif;font-size:12px;"">America is not a good example, for it is a multicultural(or, rather, acultural) State. The Romans had failed and so have the Ottomans only because they forgot the ""Mos Maiorum"" and the imperial cult.</span></p></div></blockquote>
<p>If only we had the same roots, friend. It is hard to subjugate people with strong roots to such things. Even with an imperial cult, we still would not be able to hold on to the Balkans. It was the will of nature that we had to part ways with our christian subjects, and also with our muslim subjects that were not of the Turkish race, even though we both were muslims, and that the Sultan was considered to be the Caliph, the Arabs rebelled, and so did the Kurds and Circassians, and Albanians. At the end, the Ottoman empire was left with the one and only people that stood loyal to it throughout the centuries, the people that have founded it, the people that fuelled the Ottoman war machine with sweat and blood-the Turks. </p>
</div></div></blockquote>
<p> </p>He is a Turanist idiot from cumania.",0,1388660127,
