leader_date,leader_member_id,leader_position,leader_rep_total
1316001597,0,4,0
1316001598,0,3,0
1316001600,9,2,1
1316001600,13,1,1
1316087997,0,4,0
1316087998,0,3,0
1316088000,3,1,1
1316088000,9,2,1
1316174397,0,4,0
1316174400,7,1,1
1316174400,14,3,1
1316174400,16,2,1
1316260797,0,4,0
1316260798,0,3,0
1316260799,0,2,0
1316260800,1,1,1
1316347197,0,4,0
1316347198,0,3,0
1316347199,0,2,0
1316347200,7,1,1
1316433600,1,2,1
1316433600,2,3,1
1316433600,4,1,1
1316433600,14,4,1
1316519997,0,4,0
1316519998,0,3,0
1316519999,0,2,0
1316520000,7,1,1
1316606397,0,4,0
1316606398,0,3,0
1316606399,0,2,0
1316606400,5,1,1
1316692797,0,4,0
1316692798,0,3,0
1316692800,3,1,1
1316692800,16,2,1
1316779200,1,4,1
1316779200,8,1,1
1316779200,9,2,1
1316779200,13,3,1
1316865597,0,4,0
1316865598,0,3,0
1316865599,0,2,0
1316865600,5,1,1
1316951997,0,4,0
1316952000,5,2,1
1316952000,7,1,1
1316952000,9,3,1
1317038397,0,4,0
1317038398,0,3,0
1317038400,7,1,1
1317038400,14,2,1
1317124797,0,4,0
1317124798,0,3,0
1317124800,4,1,1
1317124800,5,2,1
1317297597,0,4,0
1317297598,0,3,0
1317297599,0,2,0
1317297600,9,1,1
1317383997,0,4,0
1317383998,0,3,0
1317384000,1,1,1
1317384000,9,2,1
1317643197,0,4,0
1317643198,0,3,0
1317643199,0,2,0
1317643200,5,1,1
1317729597,0,4,0
1317729598,0,3,0
1317729600,2,1,2
1317729600,12,2,1
1317988797,0,4,0
1317988798,0,3,0
1317988799,0,2,0
1317988800,49,1,1
1318075197,0,4,0
1318075198,0,3,0
1318075199,0,2,0
1318075200,2,1,2
1318247997,0,4,0
1318247998,0,3,0
1318247999,0,2,0
1318248000,16,1,1
1318420797,0,4,0
1318420798,0,3,0
1318420799,0,2,0
1318420800,49,1,2
1318507197,0,4,0
1318507198,0,3,0
1318507199,0,2,0
1318507200,4,1,1
1318679997,0,4,0
1318679998,0,3,0
1318680000,3,2,1
1318680000,9,1,1
1318766397,0,4,0
1318766398,0,3,0
1318766399,0,2,0
1318766400,1,1,1
1318939197,0,4,0
1318939198,0,3,0
1318939200,1,1,1
1318939200,7,2,1
1319284797,0,4,0
1319284798,0,3,0
1319284800,7,2,1
1319284800,16,1,2
1319371197,0,4,0
1319371198,0,3,0
1319371200,4,2,1
1319371200,14,1,1
1319457597,0,4,0
1319457598,0,3,0
1319457599,0,2,0
1319457600,3,1,1
1319543997,0,4,0
1319543998,0,3,0
1319543999,0,2,0
1319544000,35,1,1
1319630397,0,4,0
1319630398,0,3,0
1319630399,0,2,0
1319630400,7,1,1
1319716800,2,2,1
1319716800,5,1,4
1319716800,7,3,1
1319716800,16,4,1
1319803200,5,1,3
1319803200,7,2,1
1319803200,19,4,1
1319803200,61,3,1
1319889597,0,4,0
1319889598,0,3,0
1319889600,5,1,2
1319889600,7,2,1
1319976000,5,1,2
1319976000,23,3,1
1319976000,49,4,1
1319976000,64,2,2
1320062397,0,4,0
1320062400,7,3,1
1320062400,9,2,1
1320062400,43,1,2
1320148797,0,4,0
1320148798,0,3,0
1320148799,0,2,0
1320148800,2,1,2
1320235197,0,4,0
1320235198,0,3,0
1320235199,0,2,0
1320235200,12,1,1
1320321597,0,4,0
1320321600,2,3,1
1320321600,7,1,3
1320321600,9,2,1
1320408000,2,4,1
1320408000,9,1,6
1320408000,23,3,1
1320408000,64,2,2
1320580797,0,4,0
1320580798,0,3,0
1320580800,9,1,1
1320580800,49,2,1
1320753597,0,4,0
1320753600,3,2,1
1320753600,7,1,3
1320753600,13,3,1
1320926400,4,3,1
1320926400,13,1,2
1320926400,35,2,1
1320926400,49,4,1
1321012800,2,1,1
1321012800,14,2,1
1321012800,49,4,1
1321012800,56,3,1
1321099200,4,3,2
1321099200,5,2,2
1321099200,11,4,1
1321099200,49,1,3
