index_author_id,index_item_id,index_class
1,1,IPS\calendar\Event
13661,1,IPS\calendar\Event
1,2,IPS\calendar\Event
14,2,IPS\core\Statuses\Status
1,3,IPS\calendar\Event
0,3,IPS\forums\Topic
1,3,IPS\forums\Topic
2,3,IPS\forums\Topic
3,3,IPS\forums\Topic
4,3,IPS\forums\Topic
5,3,IPS\forums\Topic
8,3,IPS\forums\Topic
9,3,IPS\forums\Topic
11,3,IPS\forums\Topic
12,3,IPS\forums\Topic
13,3,IPS\forums\Topic
14,3,IPS\forums\Topic
16,3,IPS\forums\Topic
33,3,IPS\forums\Topic
35,3,IPS\forums\Topic
37,3,IPS\forums\Topic
94,3,IPS\forums\Topic
1,4,IPS\calendar\Event
6144,4,IPS\calendar\Event
1,5,IPS\calendar\Event
1,6,IPS\calendar\Event
35,6,IPS\core\Statuses\Status
1,7,IPS\calendar\Event
35,7,IPS\core\Statuses\Status
1,7,IPS\forums\Topic
1,8,IPS\calendar\Event
35,8,IPS\core\Statuses\Status
1,8,IPS\forums\Topic
1,9,IPS\calendar\Event
1,9,IPS\forums\Topic
1,10,IPS\calendar\Event
1,11,IPS\calendar\Event
35,11,IPS\core\Statuses\Status
0,11,IPS\forums\Topic
1,11,IPS\forums\Topic
2,11,IPS\forums\Topic
3,11,IPS\forums\Topic
4,11,IPS\forums\Topic
5,11,IPS\forums\Topic
7,11,IPS\forums\Topic
8,11,IPS\forums\Topic
9,11,IPS\forums\Topic
11,11,IPS\forums\Topic
12,11,IPS\forums\Topic
13,11,IPS\forums\Topic
14,11,IPS\forums\Topic
16,11,IPS\forums\Topic
19,11,IPS\forums\Topic
23,11,IPS\forums\Topic
25,11,IPS\forums\Topic
29,11,IPS\forums\Topic
40,11,IPS\forums\Topic
44,11,IPS\forums\Topic
47,11,IPS\forums\Topic
49,11,IPS\forums\Topic
53,11,IPS\forums\Topic
54,11,IPS\forums\Topic
65,11,IPS\forums\Topic
67,11,IPS\forums\Topic
72,11,IPS\forums\Topic
85,11,IPS\forums\Topic
100,11,IPS\forums\Topic
101,11,IPS\forums\Topic
108,11,IPS\forums\Topic
112,11,IPS\forums\Topic
125,11,IPS\forums\Topic
129,11,IPS\forums\Topic
130,11,IPS\forums\Topic
132,11,IPS\forums\Topic
133,11,IPS\forums\Topic
142,11,IPS\forums\Topic
143,11,IPS\forums\Topic
146,11,IPS\forums\Topic
161,11,IPS\forums\Topic
164,11,IPS\forums\Topic
188,11,IPS\forums\Topic
206,11,IPS\forums\Topic
246,11,IPS\forums\Topic
261,11,IPS\forums\Topic
279,11,IPS\forums\Topic
283,11,IPS\forums\Topic
287,11,IPS\forums\Topic
288,11,IPS\forums\Topic
293,11,IPS\forums\Topic
329,11,IPS\forums\Topic
333,11,IPS\forums\Topic
342,11,IPS\forums\Topic
1066,11,IPS\forums\Topic
1558,11,IPS\forums\Topic
2075,11,IPS\forums\Topic
2082,11,IPS\forums\Topic
2099,11,IPS\forums\Topic
2144,11,IPS\forums\Topic
2392,11,IPS\forums\Topic
3491,11,IPS\forums\Topic
4151,11,IPS\forums\Topic
4873,11,IPS\forums\Topic
6113,11,IPS\forums\Topic
6117,11,IPS\forums\Topic
6120,11,IPS\forums\Topic
6144,11,IPS\forums\Topic
6150,11,IPS\forums\Topic
6155,11,IPS\forums\Topic
6237,11,IPS\forums\Topic
6249,11,IPS\forums\Topic
6254,11,IPS\forums\Topic
6321,11,IPS\forums\Topic
6359,11,IPS\forums\Topic
7424,11,IPS\forums\Topic
7481,11,IPS\forums\Topic
7504,11,IPS\forums\Topic
7636,11,IPS\forums\Topic
7643,11,IPS\forums\Topic
7760,11,IPS\forums\Topic
7816,11,IPS\forums\Topic
7903,11,IPS\forums\Topic
7958,11,IPS\forums\Topic
8117,11,IPS\forums\Topic
8165,11,IPS\forums\Topic
8192,11,IPS\forums\Topic
8232,11,IPS\forums\Topic
8971,11,IPS\forums\Topic
9112,11,IPS\forums\Topic
9174,11,IPS\forums\Topic
9288,11,IPS\forums\Topic
9335,11,IPS\forums\Topic
9393,11,IPS\forums\Topic
9476,11,IPS\forums\Topic
9503,11,IPS\forums\Topic
9531,11,IPS\forums\Topic
9571,11,IPS\forums\Topic
9606,11,IPS\forums\Topic
9620,11,IPS\forums\Topic
9668,11,IPS\forums\Topic
9861,11,IPS\forums\Topic
9931,11,IPS\forums\Topic
9940,11,IPS\forums\Topic
11579,11,IPS\forums\Topic
12524,11,IPS\forums\Topic
13030,11,IPS\forums\Topic
13075,11,IPS\forums\Topic
13106,11,IPS\forums\Topic
13110,11,IPS\forums\Topic
13166,11,IPS\forums\Topic
13307,11,IPS\forums\Topic
13510,11,IPS\forums\Topic
13532,11,IPS\forums\Topic
13558,11,IPS\forums\Topic
13681,11,IPS\forums\Topic
13771,11,IPS\forums\Topic
14238,11,IPS\forums\Topic
14300,11,IPS\forums\Topic
14542,11,IPS\forums\Topic
14572,11,IPS\forums\Topic
