tag_id,tag_aai_lookup,tag_aap_lookup,tag_meta_app,tag_meta_area,tag_meta_id,tag_meta_parent_id,tag_member_id,tag_added,tag_prefix,tag_text
1,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,father charles coughlin
2,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,father coughlin
3,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,charles coughlin
4,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,coughlin
5,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,united states of america
6,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,United States
7,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,U.S.
8,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,America
9,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,USA
10,811c8c75196b3ff83dad05695a6bc80e,956ad2d2939099a2185452a31071f22e,forums,forums,111,75,2,2011-09-20T21:45:47Z,FALSE,Canada
11,8bda5c23a73f4a53e664b0a644fdf0c3,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,129,99,2,2011-09-23T08:32:12Z,FALSE,political compass
1505,c81c72e023eedaf1085a9f10bfa866ce,c5aa156354e1562af9dc1fbdf03ae7c0,forums,forums,209,94,2,2013-11-27T14:36:27Z,FALSE,fascism
1504,c81c72e023eedaf1085a9f10bfa866ce,c5aa156354e1562af9dc1fbdf03ae7c0,forums,forums,209,94,2,2013-11-27T14:36:27Z,FALSE,true
1503,c81c72e023eedaf1085a9f10bfa866ce,c5aa156354e1562af9dc1fbdf03ae7c0,forums,forums,209,94,2,2013-11-27T14:36:27Z,FALSE,giovanni gentile
1502,c81c72e023eedaf1085a9f10bfa866ce,c5aa156354e1562af9dc1fbdf03ae7c0,forums,forums,209,94,2,2013-11-27T14:36:27Z,FALSE,actual idealism
87,49f0aabee7caac9fd601bd3333c05b8c,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,254,38,2,2011-11-28T08:35:31Z,FALSE,Britain
86,49f0aabee7caac9fd601bd3333c05b8c,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,254,38,2,2011-11-28T08:35:31Z,FALSE,Monarchy
25,ef9c553b27602531af9b1a2941868f69,42127c729dd1871f500f9c583c4a30dd,forums,forums,272,60,67,2011-11-02T02:23:42Z,FALSE,Introduction
26,43ac6adba8bf95da38476118dd2bcee3,69be07476c613fe6f924a70753c952f8,forums,forums,274,60,67,2011-11-02T20:59:12Z,FALSE,Religion
27,afd1964ed1a568511941a2599f296256,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,275,88,67,2011-11-02T21:26:23Z,FALSE,Trade unions
28,afd1964ed1a568511941a2599f296256,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,275,88,67,2011-11-02T21:26:23Z,FALSE,left
29,afd1964ed1a568511941a2599f296256,0e2cc9595cdd468bc3f1f9e946c8d63b,forums,forums,275,88,67,2011-11-02T21:26:23Z,FALSE,Syndicalism
30,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,2011-11-03T06:04:06Z,FALSE,Iron Will
31,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,2011-11-03T06:04:06Z,FALSE,greetings
32,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,2011-11-03T06:04:06Z,FALSE,hello
33,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,2011-11-03T06:04:06Z,FALSE,introduction
34,a81354916f466c0b3f0cdff453ed0655,42127c729dd1871f500f9c583c4a30dd,forums,forums,277,60,68,2011-11-03T06:04:06Z,FALSE,introductions
36,a22a57b42eb6dd2fa966ce45dcc07de2,42127c729dd1871f500f9c583c4a30dd,forums,forums,289,60,72,2011-11-06T20:10:51Z,FALSE,Hi
37,a22a57b42eb6dd2fa966ce45dcc07de2,42127c729dd1871f500f9c583c4a30dd,forums,forums,289,60,72,2011-11-06T20:10:51Z,FALSE,Hello
38,afff8c1ba1d2caf02e5aa53f54ff90ed,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,290,15,61,2011-11-06T21:15:07Z,FALSE,Iran War
39,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Dimitrije
40,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Mita
41,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Ljotic
42,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Serbia
43,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Yugoslavia
44,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,ZBOR
45,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,SDK
46,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Anti-communism
47,4880d94987fbc93789d7913495fa849f,c4c1133b6d24419297c32352db8cbc2b,forums,forums,296,151,56,2011-11-08T23:24:50Z,FALSE,Agrarianism
3593,acea5c3e22211e73d35589cffb254ab8,b475efb500f6079448ab7572479f3f80,forums,forums,5772,87,1,2015-11-14T00:49:00Z,FALSE,French
3592,acea5c3e22211e73d35589cffb254ab8,b475efb500f6079448ab7572479f3f80,forums,forums,5772,87,1,2015-11-14T00:49:00Z,FALSE,2015
3590,acea5c3e22211e73d35589cffb254ab8,b475efb500f6079448ab7572479f3f80,forums,forums,5772,87,1,2015-11-14T00:49:00Z,FALSE,Helter
3573,fa4c3ad2592d838f1e743fe6405390c9,768091c8b4997507baae7331c1335d16,forums,forums,5773,93,9620,2015-11-13T23:09:54Z,FALSE,aka evola 101
52,1a014857628afd99700a0410b5458cf9,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,301,62,68,2011-11-09T18:39:47Z,FALSE,biological weapons
53,1a014857628afd99700a0410b5458cf9,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,301,62,68,2011-11-09T18:39:47Z,FALSE,weapons
54,1a014857628afd99700a0410b5458cf9,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,301,62,68,2011-11-09T18:39:47Z,FALSE,documentary
55,1a014857628afd99700a0410b5458cf9,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,301,62,68,2011-11-09T18:39:47Z,FALSE,germ warfare
56,1a014857628afd99700a0410b5458cf9,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,301,62,68,2011-11-09T18:39:47Z,FALSE,biological warfare
3591,acea5c3e22211e73d35589cffb254ab8,b475efb500f6079448ab7572479f3f80,forums,forums,5772,87,1,2015-11-14T00:49:00Z,FALSE,Skelter
62,0a9cfd011d7c9ba2ecc68fe32ea7379e,4fbeb3c9ac442b9608a5a7ee84bd1eb5,forums,forums,196,88,62,2011-11-10T17:08:32Z,FALSE,The 1%
63,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,documentary
64,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,duel
65,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,timewatch
66,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,bbc
67,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,james landale
68,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,kirkcaldy
69,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,fife
70,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,honor
71,ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,306,62,68,2011-11-11T23:50:23Z,FALSE,honour
72,f2d9c9181dd47141b387ed25d95a6103,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,311,62,68,2011-11-14T04:00:44Z,FALSE,Ernst Jünger
73,f2d9c9181dd47141b387ed25d95a6103,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,311,62,68,2011-11-14T04:00:44Z,FALSE,documentary
74,f2d9c9181dd47141b387ed25d95a6103,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,311,62,68,2011-11-14T04:00:44Z,FALSE,paris
75,f2d9c9181dd47141b387ed25d95a6103,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,311,62,68,2011-11-14T04:00:44Z,FALSE,wwii
76,f2d9c9181dd47141b387ed25d95a6103,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,311,62,68,2011-11-14T04:00:44Z,FALSE,World War II
77,95bece0412e616b7a9797f09f8a0b433,964b8b0a533a4160c095e0897aba46f7,forums,forums,324,62,68,2011-11-20T06:04:16Z,FALSE,Werner Sombart
78,ec6704f1722c2528f72ac5ac7a173e23,ed58c3dca07b3b5be3f028f268ec07b6,forums,forums,327,75,35,2011-11-22T12:30:18Z,FALSE,social credit
79,ec6704f1722c2528f72ac5ac7a173e23,ed58c3dca07b3b5be3f028f268ec07b6,forums,forums,327,75,35,2011-11-22T12:30:18Z,FALSE,debt cycle
80,ec6704f1722c2528f72ac5ac7a173e23,ed58c3dca07b3b5be3f028f268ec07b6,forums,forums,327,75,35,2011-11-22T12:30:18Z,FALSE,economics
81,ec6704f1722c2528f72ac5ac7a173e23,ed58c3dca07b3b5be3f028f268ec07b6,forums,forums,327,75,35,2011-11-22T12:30:18Z,FALSE,fractional reserve banking
108,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,otpor
90,479c6f537e2960df47dff75db85e98e6,e88f543d0547e022b8cba311a6b610b3,forums,forums,355,60,2,2011-12-04T09:21:45Z,FALSE,Jehovah
89,479c6f537e2960df47dff75db85e98e6,e88f543d0547e022b8cba311a6b610b3,forums,forums,355,60,2,2011-12-04T09:21:45Z,FALSE,Bible Students
88,479c6f537e2960df47dff75db85e98e6,e88f543d0547e022b8cba311a6b610b3,forums,forums,355,60,2,2011-12-04T09:21:45Z,FALSE,Jehovahs Witnesses
107,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,america
106,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,revolution
104,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,democracy
105,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,gene sharp
103,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,democrazy
109,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,cia
110,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,capitalism
111,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,liberal democracy
112,db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,360,62,68,2011-12-07T18:43:49Z,FALSE,liberalism
113,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,James Mason
114,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,Boyd Rice
115,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,Blood Axis
116,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,Bob Larson
117,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,Siege!
118,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,Love
119,e9735d29a553b087e62b3e3b4043e3c2,956ad2d2939099a2185452a31071f22e,forums,forums,385,75,35,2011-12-16T06:11:54Z,FALSE,Tolerance
120,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Joseph Goebbels
121,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,National Socialism
122,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Hitler
123,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Documantaries
124,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Fascism
125,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Experiment
126,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Germany
127,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Europe
128,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Jew
129,294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,forums,forums,387,62,89,2011-12-16T11:54:54Z,FALSE,Help
174,f29c5ed52bafa85ad04244a541bc3317,51253f5c665ed2a553bb0ca164d8b500,forums,forums,398,94,1,2012-01-27T12:30:00Z,FALSE,Revolution
137,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,Fascism
138,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,England
139,0b299dc51e645bd06c6a2f736973c428,a8ec894f1cd7456aede97242cbe1b6a5,forums,forums,403,148,89,2011-12-19T20:12:05Z,FALSE,UK
