tag_cache_key,tag_cache_text,tag_cache_date
811c8c75196b3ff83dad05695a6bc80e,"{""tags"":[""father charles coughlin"",""father coughlin"",""charles coughlin"",""coughlin"",""united states of america"",""United States"",""U.S."",""America"",""USA"",""Canada""],""prefix"":""""}",2015-05-11T15:09:03Z
8bda5c23a73f4a53e664b0a644fdf0c3,"{""tags"":[""political compass""],""prefix"":""""}",2015-05-11T15:09:03Z
c81c72e023eedaf1085a9f10bfa866ce,"{""tags"":[""actual idealism"",""giovanni gentile"",""true"",""fascism""],""prefix"":""""}",2015-05-11T15:09:09Z
1b15ddd5286635d6004b2ab75ab123d3,"{""tags"":[],""prefix"":""""}",2015-05-11T15:09:16Z
49f0aabee7caac9fd601bd3333c05b8c,"{""tags"":[""Monarchy"",""Britain""],""prefix"":""""}",2015-05-11T15:09:09Z
127c73f84b3ff08e0a80410d7bdcfe1a,"{""tags"":[],""prefix"":""""}",2015-05-11T15:09:03Z
ef9c553b27602531af9b1a2941868f69,"{""tags"":[""Introduction""],""prefix"":""""}",2015-05-11T15:09:13Z
43ac6adba8bf95da38476118dd2bcee3,"{""tags"":[""Religion""],""prefix"":""""}",2015-05-11T15:09:13Z
462c5b3fb75a8e34d3f9885d9b7b160c,"{""tags"":[],""prefix"":""""}",2015-05-11T15:09:52Z
a81354916f466c0b3f0cdff453ed0655,"{""tags"":[""Iron Will"",""greetings"",""hello"",""introduction"",""introductions""],""prefix"":""""}",2015-05-11T15:09:13Z
0054c9bc937f82ae517489941814c648,"{""tags"":[],""prefix"":""""}",2015-05-11T15:09:45Z
a22a57b42eb6dd2fa966ce45dcc07de2,"{""tags"":[""Hi"",""Hello""],""prefix"":""""}",2015-05-11T15:09:13Z
afff8c1ba1d2caf02e5aa53f54ff90ed,"{""tags"":[""Iran War""],""prefix"":""""}",2015-05-11T15:09:13Z
4880d94987fbc93789d7913495fa849f,"{""tags"":[""Dimitrije"",""Mita"",""Ljotic"",""Serbia"",""Yugoslavia"",""ZBOR"",""SDK"",""Anti-communism"",""Agrarianism""],""prefix"":""""}",2015-05-11T15:09:13Z
a6980f361de1877ec511c47c24e5af67,"{""tags"":[],""prefix"":""""}",2015-11-15T18:13:23Z
22b8585cfe73239390b6548fda9f5b2f,"{""tags"":[],""prefix"":""""}",2016-01-30T16:27:27Z
1a014857628afd99700a0410b5458cf9,"{""tags"":[""biological weapons"",""weapons"",""documentary"",""germ warfare"",""biological warfare""],""prefix"":""""}",2015-05-11T15:09:13Z
843bf31f6a3e5e7747e1067878c165f8,"{""tags"":[],""prefix"":""""}",2015-05-11T15:10:18Z
ea057734828f46506d63b7d489141d99,"{""tags"":[""documentary"",""duel"",""timewatch"",""bbc"",""james landale"",""kirkcaldy"",""fife"",""honor"",""honour""],""prefix"":""""}",2015-05-11T15:09:13Z
f2d9c9181dd47141b387ed25d95a6103,"{""tags"":[""Ernst J\u00fcnger"",""documentary"",""paris"",""wwii"",""World War II""],""prefix"":""""}",2015-05-11T15:09:13Z
95bece0412e616b7a9797f09f8a0b433,"{""tags"":[""Werner Sombart""],""prefix"":""""}",2015-05-11T15:09:13Z
ec6704f1722c2528f72ac5ac7a173e23,"{""tags"":[""social credit"",""debt cycle"",""economics"",""fractional reserve banking""],""prefix"":""""}",2015-05-11T15:09:16Z
479c6f537e2960df47dff75db85e98e6,"{""tags"":[""Jehovahs Witnesses"",""Bible Students"",""Jehovah""],""prefix"":""""}",2015-05-11T15:09:16Z
db6b3d9497009c306ccfc06aa838b3d4,"{""tags"":[""democrazy"",""democracy"",""gene sharp"",""revolution"",""america"",""otpor"",""cia"",""capitalism"",""liberal democracy"",""liberalism""],""prefix"":""""}",2015-05-11T15:09:16Z
e9735d29a553b087e62b3e3b4043e3c2,"{""tags"":[""James Mason"",""Boyd Rice"",""Blood Axis"",""Bob Larson"",""Siege!"",""Love"",""Tolerance""],""prefix"":""""}",2015-05-11T15:09:19Z
