tag_perm_aai_lookup,tag_perm_aap_lookup,tag_perm_text,tag_perm_visible
811c8c75196b3ff83dad05695a6bc80e,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
8bda5c23a73f4a53e664b0a644fdf0c3,85aa9178b923fa1878ad86a0aaf847b8,"4,2,3,6,1",TRUE
c81c72e023eedaf1085a9f10bfa866ce,51deea4867472642fba67a586d8c8060,"4,2,3,6,1",TRUE
74188d2b121682dfe30279ebad107400,e8b9aa1927d352c4af04738164bf7f61,"4,2,3,6,1",TRUE
49f0aabee7caac9fd601bd3333c05b8c,a8ec894f1cd7456aede97242cbe1b6a5,"4,2,3,6,1",TRUE
ef9c553b27602531af9b1a2941868f69,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
43ac6adba8bf95da38476118dd2bcee3,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
afd1964ed1a568511941a2599f296256,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
a81354916f466c0b3f0cdff453ed0655,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
a22a57b42eb6dd2fa966ce45dcc07de2,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
afff8c1ba1d2caf02e5aa53f54ff90ed,5da4c6fdc1736044414e40ffd1425665,"4,2,3,6,1",TRUE
4880d94987fbc93789d7913495fa849f,7c94a3a975bf63dfc177592884fd065c,"4,2,3,6",TRUE
acea5c3e22211e73d35589cffb254ab8,b475efb500f6079448ab7572479f3f80,"4,2,3,6,1",TRUE
1a014857628afd99700a0410b5458cf9,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
0a9cfd011d7c9ba2ecc68fe32ea7379e,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
ea057734828f46506d63b7d489141d99,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
f2d9c9181dd47141b387ed25d95a6103,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
95bece0412e616b7a9797f09f8a0b433,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
ec6704f1722c2528f72ac5ac7a173e23,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
479c6f537e2960df47dff75db85e98e6,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
db6b3d9497009c306ccfc06aa838b3d4,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
e9735d29a553b087e62b3e3b4043e3c2,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
294c5a3fb533255ef6015789a20c0d57,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
31ca89afce5e06e6edfa7d6accce7042,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
f29c5ed52bafa85ad04244a541bc3317,51deea4867472642fba67a586d8c8060,"4,2,3,6,1",TRUE
0b299dc51e645bd06c6a2f736973c428,668e2a31c06d7a2fc62d35a7439cd366,"4,2,3,6,1",TRUE
addb5e09d2f40ef28cb9279b71d09013,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
efe095de3fedfc291ffa2049abf9be83,c6dbf78127210280895cda9440113396,"4,2,3,6,1,8",TRUE
70d1c6bfbe69f002ca8347a84e91a393,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
03057331e4ce5433937bb62773cb2d7f,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
5d6592bee4ef8712787cabc335db278d,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
5e68415375cdd7723fd78a01969b29c8,fbd600eaa11a13fe84461915b0f850fe,"4,2,3,6,10,1",TRUE
56b94dc87c6a2433db9ab9e9156b6574,e24c78c5edf157928d3c98fad53e7bc5,"4,2,3,6,1",TRUE
0a6defe10ce6195b659fdb9f7480b85e,c6dbf78127210280895cda9440113396,"4,2,3,6,1,8",TRUE
75c25c15ed3bd71192e69ec1a0587ce3,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
2594328a98949823ea09cb279db2a619,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
114305c94e1b30a3673eeaccec556abc,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
6aa1f25aaee043bf9c6103b8ab38d5f9,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
