sc_id,sc_set_id,sc_key,sc_type,sc_content,sc_updated,sc_default,sc_tab_key,sc_show_in_vse,sc_title,sc_order,sc_condition
1,1,ajax_pagination,YesNo,"[{""key"":"""",""value"":""""}]",1458844927,1,custom,TRUE,themesetting_ajax_pagination,10,
2,1,alternate_button,Color,"[{""key"":"""",""value"":""""}]",1458844927,#3e4148,buttoncolors,FALSE,themesetting_alternate_button,3,
3,1,alternate_button_font,Color,[],1458844927,#ffffff,buttoncolors,FALSE,themesetting_alternate_button_font,4,
4,1,area_background,Color,[],1458844927,#e6e8eb,frontendcolors,FALSE,themesetting_area_background,11,
5,1,area_background_dark,Color,[],1458844927,#353c41,frontendcolors,FALSE,themesetting_area_background_dark,12,
6,1,area_background_light,Color,[],1458844927,#f8f8f8,frontendcolors,FALSE,themesetting_area_background_light,13,
7,1,area_background_reset,Color,[],1458844927,#ffffff,frontendcolors,FALSE,themesetting_area_background_reset,14,
8,1,button_bar,Color,[],1458844927,#ffffff,buttoncolors,FALSE,themesetting_button_bar,13,
9,1,enable_fluid_width,YesNo,"[{""key"":"""",""value"":""""},{""key"":"""",""value"":""""}]",1458844927,0,custom,TRUE,themesetting_enable_fluid_width,7,
10,1,fluid_width_size,Number,[],1458844927,95,custom,TRUE,themesetting_fluid_width_size,8,
11,1,footer_text,Color,[],1458844927,#353c41,textcolors,FALSE,themesetting_footer_text,13,
12,1,header,Color,[],1458844927,#3d6594,frontendcolors,FALSE,themesetting_header,2,
13,1,important_button,Color,[],1458844927,#478f79,buttoncolors,FALSE,themesetting_important_button,7,
14,1,important_button_font,Color,[],1458844927,#ffffff,buttoncolors,FALSE,themesetting_important_button_font,8,
15,1,item_status,Color,"[{""key"":"""",""value"":""""}]",1458844927,#353c41,frontendcolors,FALSE,themesetting_item_status_active,27,
16,1,js_include,Radio,"[{""key"":""head"",""value"":""Inside the &lt;head&gt;""},{""key"":""footer"",""value"":""Just before &lt;\/body&gt; tag""}]",1458844927,footer,custom,FALSE,themesetting_js_location,9,
17,1,light_button,Color,[],1458844927,#e5e5e5,buttoncolors,FALSE,themesetting_light_button,9,
18,1,light_button_font,Color,[],1458844927,#333333,buttoncolors,FALSE,themesetting_light_button_font,10,
19,1,link,Color,[],1458844927,#3d6594,textcolors,FALSE,themesetting_link,6,
20,1,link_hover,Color,[],1458844927,#4588c5,textcolors,FALSE,themesetting_link_hover,7,
21,1,main_nav,Color,[],1458844927,#375476,frontendcolors,FALSE,themesetting_main_nav,3,
22,1,main_nav_font,Color,[],1458844927,#ffffff,frontendcolors,FALSE,themesetting_main_nav_font,4,
23,1,main_nav_tab,Color,"[{""key"":"""",""value"":""""}]",1458844927,#ffffff,frontendcolors,FALSE,themesetting_main_nav_active,5,
