vid,ip_address,vote_date,tid,member_id,forum_id,member_choices,poll
1,77.249.103.246,1323790101,370,13,88,"{""1"":[""2""]}",1
2,86.21.53.46,1323790499,370,4,88,"{""1"":[""1""]}",1
3,108.13.155.97,1323791995,370,29,88,"{""1"":[""1""]}",1
4,86.7.229.239,1323800768,370,0,88,"{""1"":[""1""]}",1
5,31.220.211.18,1323801140,370,7,88,"{""1"":[""1""]}",1
6,152.33.21.65,1323805321,370,16,88,"{""1"":[""1""]}",1
7,192.101.250.250,1323822724,370,68,88,"{""1"":[""1""]}",1
8,71.185.163.249,1323843605,370,49,88,"{""1"":[""1""]}",1
9,131.181.251.22,1323871708,370,65,88,"{""1"":[""2""]}",1
27,201.236.119.199,1324958167,370,44,88,"{""1"":[""1""]}",1
54,68.204.108.97,1328857815,370,142,88,"{""1"":[""2""]}",1
42,112.205.40.73,1326887287,370,72,88,"{""1"":[""2""]}",1
55,86.4.47.94,1329177828,599,4,66,"{""1"":[""1""]}",3
77,71.185.163.249,1329508274,599,49,13,"{""1"":[""1""]}",3
57,70.48.97.41,1329178200,599,67,66,"{""1"":[""2""]}",3
58,24.229.117.252,1329178721,599,140,66,"{""1"":[""2""]}",3
59,69.65.204.203,1329179229,599,64,66,"{""1"":[""3""]}",3
60,68.37.21.125,1329180836,599,2,66,"{""1"":[""2""]}",3
61,75.91.88.47,1329181047,599,84,66,"{""1"":[""3""]}",3
62,68.204.108.97,1329181065,599,142,66,"{""1"":[""3""]}",3
63,71.114.54.74,1329181359,599,14,66,"{""1"":[""1""]}",3
64,31.220.211.106,1329182527,599,7,13,"{""1"":[""1""]}",3
65,190.47.93.211,1329183352,599,44,13,"{""1"":[""2""]}",3
66,67.10.202.120,1329184430,599,130,13,"{""1"":[""2""]}",3
67,152.33.10.78,1329184648,599,16,13,"{""1"":[""1""]}",3
74,192.101.250.250,1329198481,599,68,13,"{""1"":[""2""]}",3
72,188.32.178.123,1329198219,599,1,13,"{""1"":[""1""]}",3
73,109.78.249.220,1329198314,599,11,13,"{""1"":[""2""]}",3
75,77.249.103.246,1329212316,599,13,13,"{""1"":[""2""]}",3
118,112.205.76.27,1331473814,599,72,13,"{""1"":[""1""]}",3
79,151.40.143.33,1329739245,599,19,13,"{""1"":[""1""]}",3
80,92.251.65.142,1329760343,599,101,13,"{""1"":[""1""]}",3
82,71.114.54.74,1331051377,682,14,99,"{""1"":[""1""]}",4
83,65.92.176.123,1331051397,682,67,99,"{""1"":[""2""]}",4
84,152.33.47.92,1331051434,682,16,99,"{""1"":[""2""]}",4
85,173.55.230.190,1331051696,682,29,99,"{""1"":[""3""]}",4
86,50.66.9.47,1331051825,682,161,99,"{""1"":[""2""]}",4
