id,key,app,class,caches,restrict,default_area,allow_reuse,menu_style
1,activeUsers,core,\IPS\Widget,,[],,FALSE,menu
2,announcements,core,\IPS\Widget\PermissionCache,,"[""sidebar"",""cms""]",header,FALSE,menu
3,stats,core,\IPS\Widget\StaticCache,"{""widget_stats_w60l1hu6e_0fe875246c01cbd5259d84869b6015a0"":1511237822,""widget_stats_w60l1hu6e_e0bb7ccc3858baf856c11417c5294b7a"":1511237881}",[],,FALSE,menu
4,relatedContent,core,\IPS\Widget,,[],,FALSE,menu
5,recentStatusUpdates,core,\IPS\Widget\StaticCache,,[],,FALSE,menu
6,topContributors,core,\IPS\Widget\StaticCache,,[],,FALSE,menu
7,whosOnline,core,\IPS\Widget,,[],,FALSE,menu
8,members,core,\IPS\Widget\StaticCache,"{""widget_members_9cpqnvkfg_9d0a3036f314dff851b8d28aa855b461"":1511237881}","[""sidebar"",""cms""]",,TRUE,modal
9,forumStatistics,forums,\IPS\Widget\PermissionCache,"{""widget_forumStatistics_lm3oql1w5_0fe875246c01cbd5259d84869b6015a0"":1511237833,""widget_forumStatistics_lm3oql1w5_e0bb7ccc3858baf856c11417c5294b7a"":1511237540}",[],,FALSE,menu
10,hotTopics,forums,\IPS\Widget\PermissionCache,,[],,FALSE,menu
11,topicFeed,forums,\IPS\Widget\PermissionCache,"{""widget_topicFeed_bbjn03rba_878ef67970fdccad41122bd40f0074cb"":1511237822,""widget_topicFeed_bbjn03rba_780b2e549fdba807deccf9f1fb91d282"":1511237880}",[],,TRUE,modal
12,postFeed,forums,\IPS\Widget\PermissionCache,,[],,TRUE,modal
13,poll,forums,\IPS\Widget\PermissionCache,,"[""sidebar"",""cms""]",,TRUE,modal
14,todaysBirthdays,calendar,\IPS\Widget\StaticCache,,[],,FALSE,menu
15,upcomingEvents,calendar,\IPS\Widget\PermissionCache,"{""widget_upcomingEvents_xvp65ucul_48007f5bf6346f40c1ba35cbe75dba74"":1511231804,""widget_upcomingEvents_xvp65ucul_97d744c65ff87de8b954d6ea54525d2b"":1511231825,""widget_upcomingEvents_xvp65ucul_a3b6726b6e1475fb63d8972f1ddf930c"":1511231826,""widget_upcomingEvents_xvp65ucul_e72dd6f535fb67f6b0265b3ca39f4e29"":1511231954,""widget_upcomingEvents_xvp65ucul_8537d147ad4646ed6809517def26b045"":1511232311,""widget_upcomingEvents_xvp65ucul_2f40db6a01ec51eaabc487c47eb9b0ad"":1511232446,""widget_upcomingEvents_xvp65ucul_e60c0407043cea3226182d6411d1c8ac"":1511232505,""widget_upcomingEvents_xvp65ucul_64dea144d81f06fba9d4231ad526294c"":1511232660,""widget_upcomingEvents_xvp65ucul_bd7ceea79f9f6f5165b53934a0c7da76"":1511232906,""widget_upcomingEvents_xvp65ucul_4f884caa5d36995f3445c34c2b59894d"":1511233020,""widget_upcomingEvents_xvp65ucul_c3a2a6c682a959d9479feea08e575b2e"":1511233113,""widget_upcomingEvents_xvp65ucul_2d8a6df95d04cb3e49705441b7240fee"":1511233117,""widget_upcomingEvents_xvp65ucul_0486114e08d7564f5761a35a17a24c78"":1511233282,""widget_upcomingEvents_xvp65ucul_d329b80d5937226aaf47cea0d89cceb9"":1511233293,""widget_upcomingEvents_xvp65ucul_1f51dc00a0404a45c4c01b17cb42d69f"":1511233567,""widget_upcomingEvents_xvp65ucul_26c499ab57cc50fd7c3032dc5f167b58"":1511233886,""widget_upcomingEvents_xvp65ucul_2a0c797d63f1d63dd4417a2fe172ca88"":1511235431,""widget_upcomingEvents_xvp65ucul_2abe2d699b7541143c1b9160cb77ec8f"":1511235623,""widget_upcomingEvents_xvp65ucul_42335633dcac182c7646e1c33bb599d0"":1511235874,""widget_upcomingEvents_xvp65ucul_7a75f56354d2841f98b8e9def60ecd39"":1511235986,""widget_upcomingEvents_xvp65ucul_b5fc53ee842e1d361afe4ab5a12af930"":1511237067,""widget_upcomingEvents_xvp65ucul_ed1c7c00a531d63707d8ffcad40059ad"":1511237196,""widget_upcomingEvents_xvp65ucul_a41440cc31e9069e58107dd1222ff339"":1511237465}",[],,FALSE,menu
16,recentReviews,calendar,\IPS\Widget\PermissionCache,,[],,FALSE,menu
17,guestSignUp,core,\IPS\Widget\StaticCache,,"[""sidebar"",""cms""]",,FALSE,modal
18,promoted,core,\IPS\Widget\PermissionCache,,"[""sidebar"",""cms""]",,FALSE,menu
19,clubs,core,\IPS\Widget,,"[""sidebar"",""cms""]",,TRUE,modal
