id,topics,posts,last_post,last_poster_id,last_poster_name,position,use_ibc,use_html,last_title,last_id,sort_order,prune,topicfilter,show_rules,allow_poll,allow_pollbump,inc_postcount,skin_id,parent_id,notify_modq_emails,sub_can_post,permission_showtopic,forum_allow_rating,forum_last_deletion,newest_title,newest_id,can_view_others,name_seo,seo_last_title,seo_last_name,last_x_topic_ids,forums_bitoptions,disable_sharelinks,deleted_topics,viglink,qa_rate_questions,qa_rate_answers,icon
1,0,0,,0,,1,FALSE,FALSE,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,iron-march-hq,,,a:0:{},0,FALSE,FALSE,TRUE,*,*,
92,36,676,2017-10-26T21:13:19Z,9549,Riftbolt,2,TRUE,FALSE,Spraypaint Stencil Guide,6475,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,31,0,TRUE,FALSE,FALSE,1443829425,Support and Aid,5977,TRUE,activism,spraypaint-stencil-guide,riftbolt,"a:5:{i:5977;s:10:""1453360580"";i:5265;s:10:""1433998368"";i:4962;s:10:""1426974366"";i:4802;s:10:""1423636960"";i:4616;s:10:""1419909334"";}",0,FALSE,FALSE,FALSE,*,*,
2,18,475,2017-10-06T06:39:51Z,1,Александр Славрос,1,TRUE,FALSE,IronMarch 6 years Anniversary; 2017-2018 Plan,8329,Z-A,100,all,FALSE,TRUE,TRUE,TRUE,FALSE,1,,TRUE,FALSE,TRUE,1436098187,IM Proud to Launch: NOOSE,5869,TRUE,adminship-center,ironmarch-6-years-anniversary-2017-2018-plan,александр-славрос,"a:5:{i:5869;s:10:""1449985568"";i:5490;s:10:""1442118645"";i:5130;s:10:""1431173275"";i:4287;s:10:""1410808368"";i:3080;s:10:""1381265400"";}",0,FALSE,FALSE,FALSE,*,*,monthly_2016_03/IM.png.cfbd3b3a849873f03439d94278cc3296.png
10,0,0,,0,,10,TRUE,FALSE,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,the-beer-hall,,,,0,FALSE,FALSE,FALSE,*,*,
5,39,1680,2017-11-20T21:48:41Z,9288,Змајевит,2,TRUE,FALSE,IRONMARCH IN THE MEDIA,7286,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,104,0,TRUE,FALSE,FALSE,1427405548,Memorializing Comrades,5725,TRUE,the-trenches,ironmarch-in-the-media,змајевит,"a:5:{i:5725;s:10:""1446585668"";i:5286;s:10:""1434547428"";i:5188;s:10:""1432228812"";i:5150;s:10:""1431445065"";i:5143;s:10:""1431359684"";}",0,FALSE,FALSE,FALSE,*,*,
7,0,0,,0,,7,FALSE,FALSE,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,-1,,FALSE,TRUE,FALSE,0,,0,FALSE,the-news,,,,0,FALSE,FALSE,TRUE,*,*,
97,72,1409,2017-08-17T00:45:31Z,14542,Hank Hill,3,TRUE,FALSE,Game of Thrones,5220,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,96,0,TRUE,FALSE,FALSE,1447886023,Third Reich Movies [33 movies - DOWNLOADABLE],6101,TRUE,movies-tv-series,game-of-thrones,hank-hill,"a:5:{i:6101;s:10:""1455980310"";i:5995;s:10:""1453833151"";i:5945;s:10:""1452539900"";i:5941;s:10:""1452250633"";i:5900;s:10:""1450913614"";}",0,FALSE,FALSE,FALSE,*,*,
90,31,762,2017-10-27T01:03:10Z,13771,BloodEagle,9,TRUE,FALSE,Your physical activity and diet thread,4329,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,14,0,TRUE,FALSE,FALSE,1415795508,Fencing,6202,TRUE,sport-fitness,your-physical-activity-and-diet-thread,bloodeagle,"a:5:{i:6202;s:10:""1458041271"";i:5318;s:10:""1435525328"";i:5257;s:10:""1433741608"";i:5086;s:10:""1429898420"";i:4646;s:10:""1420491817"";}",0,FALSE,FALSE,FALSE,*,*,
12,150,5596,2017-11-10T03:40:21Z,12999,Stribog,3,TRUE,FALSE,Video Games,310,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,10,0,TRUE,FALSE,FALSE,1457668319,Dumbest rioters by nationality,6191,TRUE,general-discussions,video-games,stribog,"a:5:{i:6191;s:10:""1457802237"";i:6097;s:10:""1455761755"";i:6076;s:10:""1455566078"";i:5987;s:10:""1453730673"";i:5920;s:10:""1451429438"";}",0,FALSE,FALSE,TRUE,*,*,
11,1740,33616,2017-11-21T02:58:31Z,9668,MOONLORD,2,TRUE,FALSE,Introduction,8515,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,183,0,TRUE,FALSE,FALSE,1455663777,Shalom,6208,TRUE,introductions,introduction,moonlord,"a:5:{i:6208;s:10:""1458178419"";i:6199;s:10:""1458038783"";i:6195;s:10:""1458023575"";i:6193;s:10:""1458009651"";i:6174;s:10:""1457501154"";}",0,FALSE,FALSE,TRUE,*,*,
111,4,130,2017-07-03T13:26:55Z,13484,Legate_Lanius,3,TRUE,FALSE,Any members from Dingo Twitter here?,7927,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,108,0,TRUE,FALSE,FALSE,0,Australian Action&#33; IM Chapters and Beyond,5312,TRUE,shrimp-bunker,any-members-from-dingo-twitter-here,legate_lanius,"a:1:{i:5312;s:10:""1435410937"";}",0,FALSE,FALSE,FALSE,*,*,
13,232,8390,2017-11-18T22:14:23Z,13771,BloodEagle,4,TRUE,FALSE,Tell a joke thread,2864,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,12,0,TRUE,FALSE,FALSE,1457764923,&#34;Victory Day&#34; March is the stupidest march ever...,6188,TRUE,wastelands,tell-a-joke-thread,bloodeagle,"a:5:{i:6188;s:10:""1457686277"";i:6181;s:10:""1457552329"";i:6171;s:10:""1457417589"";i:6149;s:10:""1457101305"";i:6106;s:10:""1456073560"";}",0,FALSE,TRUE,FALSE,*,*,
14,0,0,,0,,5,TRUE,FALSE,,,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,10,0,FALSE,FALSE,FALSE,0,,0,TRUE,specific-subjects,,,,0,FALSE,FALSE,TRUE,*,*,
15,117,1628,2017-10-20T17:54:54Z,9694,angry,11,TRUE,FALSE,Caesars Commentaries,8428,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,14,0,TRUE,FALSE,FALSE,1445974230,Our Trip to Fort Christmas,6103,TRUE,history-and-war,caesars-commentaries,angry,"a:5:{i:6103;s:10:""1456013387"";i:6045;s:10:""1454944434"";i:5866;s:10:""1449758795"";i:5857;s:10:""1449516055"";i:5704;s:10:""1445963091"";}",0,FALSE,FALSE,TRUE,*,*,
16,40,714,2017-10-29T08:29:53Z,13831,Massgrave,14,TRUE,FALSE,Redefining psychology,4611,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,14,0,TRUE,FALSE,FALSE,1446722547,Robotic Technology Inc Does Study of Memetic Warfare for Social Media for Defence Summit,6026,TRUE,psychology,redefining-psychology,massgrave,"a:5:{i:6026;s:10:""1454485330"";i:5876;s:10:""1450157438"";i:5508;s:10:""1442457455"";i:5222;s:10:""1432923945"";i:5169;s:10:""1431837138"";}",0,FALSE,FALSE,TRUE,*,*,
17,0,0,,0,,17,TRUE,FALSE,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,race-war-central,,,,0,FALSE,FALSE,FALSE,*,*,
19,12,147,2017-11-15T18:40:31Z,9353,Hyperborean,1,TRUE,FALSE,Italian racial concepts,4333,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,37,0,TRUE,FALSE,FALSE,1415208861,Mussolini&#39;s last interview. (Short extract),4666,TRUE,italian-fascist-regime,italian-racial-concepts,hyperborean,"a:5:{i:4666;s:10:""1420775479"";i:4333;s:10:""1412122794"";i:4279;s:10:""1410634744"";i:3974;s:10:""1400376997"";i:2557;s:10:""1370874585"";}",0,FALSE,FALSE,FALSE,*,*,
20,12,88,2015-05-30T03:52:27Z,9149,Oskar Dirlewanger Fan,1,TRUE,FALSE,Falangism and fascism,5009,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,76,0,TRUE,FALSE,FALSE,1401394174,Falangism and fascism,5009,TRUE,spanish-falangism,falangism-and-fascism,oskar-dirlewanger-fan,"a:5:{i:5009;s:10:""1427639913"";i:3641;s:10:""1393355436"";i:2545;s:10:""1370640356"";i:2460;s:10:""1369376636"";i:2454;s:10:""1369260597"";}",0,FALSE,FALSE,FALSE,*,*,
162,21,185,2017-09-11T14:05:50Z,14568,Killinger,162,TRUE,FALSE,You have NO excuse to not explore places.,4990,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,160,0,TRUE,FALSE,FALSE,1427405278,Summit Charter School for the Fucking Retarded.,5172,TRUE,urban-exploration-club,you-have-no-excuse-to-not-explore-places,killinger,"a:5:{i:5172;s:10:""1431924255"";i:5170;s:10:""1431842549"";i:5164;s:10:""1431764814"";i:5079;s:10:""1429624431"";i:5053;s:10:""1428711760"";}",0,FALSE,FALSE,FALSE,*,*,monthly_2016_03/urbex.png.81acdc8c5574b30ac52914cbb11b929d.png
153,2,150,2016-03-30T22:02:20Z,10083,Teliavelis,2,TRUE,FALSE,'Lithuania for Lithuanians only' - 300 People partake in march in Lithuania,6092,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,36,0,TRUE,FALSE,FALSE,1427355345,SKYDAS - Lithuania,6219,TRUE,baltic-states,lithuania-for-lithuanians-only-300-people-partake-in-march-in-lithuania,teliavelis,"a:3:{i:6219;s:10:""1458330023"";i:6092;s:10:""1455741372"";i:715;s:10:""1331921756"";}",0,FALSE,FALSE,FALSE,*,*,
109,26,261,2017-09-20T21:17:13Z,13167,Schwarzmarsch,5,TRUE,FALSE,[ADR] od43.com,5280,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,31,0,TRUE,FALSE,FALSE,1431675449,[HAR] Hyperborean Anthropology Research,5729,TRUE,antimony-group,adr-od43com,schwarzmarsch,"a:5:{i:5729;s:10:""1446714159"";i:5313;s:10:""1435435606"";i:5280;s:10:""1434300894"";i:5264;s:10:""1433989734"";i:5160;s:10:""1431651622"";}",0,FALSE,FALSE,FALSE,*,*,monthly_2016_03/antimony.png.797cd22c0661fa7d57c6ce1e9d0fa060.png
160,20,228,2017-08-06T19:02:43Z,14268,Deimos,160,TRUE,FALSE,Hiking in Andorra,8143,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,104,0,TRUE,FALSE,FALSE,1434746442,Urban exploring and fascist brootherhood in Vz,6107,TRUE,im-outdoors-club,hiking-in-andorra,deimos,"a:5:{i:6107;s:10:""1456106358"";i:5925;s:10:""1451569298"";i:5851;s:10:""1449276289"";i:5660;s:10:""1445045574"";i:5614;s:10:""1443708768"";}",0,FALSE,FALSE,FALSE,*,*,monthly_2016_03/IMOC.png.8ed39247ca1c849766285a2aa0f074e1.png
24,32,702,2017-11-08T17:21:35Z,9288,Змајевит,10,TRUE,FALSE,Irredentism and border fiddling,1026,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,14,0,TRUE,FALSE,FALSE,1453103056,Brexit (Britain leaving EU) Y/N?,6118,TRUE,geopolitics,irredentism-and-border-fiddling,змајевит,"a:5:{i:6118;s:10:""1456410439"";i:5892;s:10:""1450631302"";i:5802;s:10:""1448043092"";i:5736;s:10:""1446796975"";i:5699;s:10:""1445869957"";}",0,FALSE,FALSE,FALSE,*,*,
25,58,1431,2017-07-04T17:15:50Z,1,Александр Славрос,13,TRUE,FALSE,We must come to a consensus! What is our economic ideology?,5179,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,14,0,TRUE,FALSE,FALSE,1383520148,Paul J. Watson on Corporatism and Capitalism. Where&#39;s the catch?,6051,TRUE,economics,we-must-come-to-a-consensus-what-is-our-economic-ideology,александр-славрос,"a:5:{i:6051;s:10:""1455002059"";i:5965;s:10:""1453057956"";i:5963;s:10:""1452952588"";i:5797;s:10:""1448010261"";i:5507;s:10:""1442386169"";}",0,FALSE,FALSE,FALSE,*,*,
26,103,3224,2017-08-15T06:28:50Z,14607,Fashwave,12,TRUE,FALSE,Thoughts on White Sharia?,7998,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,14,0,TRUE,FALSE,FALSE,1457398523,Premarital Sex,5778,TRUE,social-cultural-issues,thoughts-on-white-sharia,fashwave,"a:5:{i:5778;s:10:""1447612217"";i:5767;s:10:""1447366612"";i:5738;s:10:""1446802903"";i:5723;s:10:""1446510404"";i:5281;s:10:""1434351771"";}",0,FALSE,FALSE,FALSE,*,*,
30,79,13692,2017-11-14T00:16:26Z,14542,James Holmes,1,TRUE,FALSE,Liberal Degeneration,3751,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,31,0,TRUE,FALSE,FALSE,1456076531,Modern indulgence in the self,6182,TRUE,against-the-modern-world,liberal-degeneration,james-holmes,"a:5:{i:6182;s:10:""1457586369"";i:6004;s:10:""1454182075"";i:5585;s:10:""1443224016"";i:5298;s:10:""1434827189"";i:5152;s:10:""1431472844"";}",0,FALSE,FALSE,FALSE,*,*,
31,0,0,,0,,5,TRUE,FALSE,,,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,17,0,FALSE,FALSE,FALSE,1394558585,,0,TRUE,fascist-alma-mater,,,a:0:{},0,FALSE,FALSE,FALSE,*,*,monthly_2016_03/56f6bd2014b77_almamater.png.f30b67854d3ebf911d956de953e9ca59.png
33,14,204,2017-10-19T05:58:31Z,14516,Dark Foreigner,2,TRUE,FALSE,Error hunting: SIEGE,8339,Z-A,100,all,FALSE,TRUE,FALSE,TRUE,FALSE,169,0,TRUE,FALSE,FALSE,1379338898,The Red Pills of Zion: Archives of Truth,4761,TRUE,archive-project-central,error-hunting-siege,dark-foreigner,"a:5:{i:4761;s:10:""1422925274"";i:4097;s:10:""1403258468"";i:3596;s:10:""1392489322"";i:430;s:10:""1324764595"";i:332;s:10:""1322107550"";}",0,FALSE,FALSE,FALSE,*,*,
