event_id,event_member_id,event_content,event_title,event_smilies,event_perms,event_saved,event_lastupdated,event_recurring,event_start_date,event_end_date,event_title_seo,event_rating_total,event_rating_hits,event_rating_avg,event_post_key,event_sequence
1,1,"[url=""https://en.wikipedia.org/wiki/Joseph_Goebbels""]Joseph Goebbels[/url]' Death Day<br />
<br />
[img]https://i.imgur.com/n9Zu4sT.jpg[/img]",Joseph Goebbels&#39; Death Day,FALSE,"6,10,5,13,3,7,4,1,2,4",2015-05-12T14:42:08Z,2016-03-17T15:47:08Z,3,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,joseph-goebbels-death-day,0,FALSE,0,aacd60ce6e003aec669ed9f6401ca441,TRUE
2,1,"[url=""https://en.wikipedia.org/wiki/Niccol%C3%B2_Machiavelli""]NiccolÃ² Machiavelli[/url]'s Birthday<br />
<br />
[img]https://i.imgur.com/SBlgRwe.png[/img]",NiccolÃ² Machiavelli&#39;s Birthday,FALSE,*,2015-05-12T14:44:50Z,2015-05-12T21:23:01Z,3,2015-05-03T00:00:00Z,2015-05-03T00:00:00Z,niccol%c3%b2-machiavellis-birthday,0,FALSE,0,662b0f769011d85e0e1b1982c362da87,TRUE
3,1,"[url=""https://en.wikipedia.org/wiki/Oswald_Spengler""]Oswald Spengler[/url]'s Death Day<br />
<br />
[img]https://i.imgur.com/PSUbjXz.jpg[/img]",Oswald Spengler&#39;s Death Day,FALSE,*,2015-05-12T14:45:42Z,2015-05-12T21:23:42Z,3,2015-05-08T00:00:00Z,2015-05-08T00:00:00Z,oswald-spenglers-death-day,0,FALSE,0,d04e9d76c5d379512d50ea0316395256,TRUE
4,1,"[url=""https://en.wikipedia.org/wiki/Oswald_Spengler""]Oswald Spengler[/url]'s Birthday<br />
<br />
[img]https://i.imgur.com/PSUbjXz.jpg[/img]",Oswald Spengler&#39;s Birthday,FALSE,*,2015-05-12T14:46:32Z,2015-05-12T21:24:32Z,3,2015-05-29T00:00:00Z,2015-05-29T00:00:00Z,oswald-spenglers-birthday,5,TRUE,5,5e3ec5c18ae7791cd9163b18cd6c6ae6,TRUE
5,1,"[url=""http://ironmarch.org/index.php?/topic/684-julius-evola/?p=90610""][b]Julius Evola's[/b][/url] Death Day<br />
<br />
[img]https://i.imgur.com/1tbbyOu.jpg[/img]",Julius Evola&#39;s Death Day,FALSE,*,2015-05-12T14:47:51Z,2015-05-12T15:26:41Z,3,2015-06-11T00:00:00Z,2015-06-11T00:00:00Z,julius-evolas-death-day,0,FALSE,0,d4af05102ff8296b669917df632fa175,TRUE
6,1,"NiccolÃ² Machiavelli's Death Day<br />
<br />
[img]https://i.imgur.com/SBlgRwe.png[/img]",NiccolÃ² Machiavelli&#39;s Death Day,FALSE,*,2015-05-12T14:48:44Z,2015-05-12T15:16:18Z,3,2015-06-21T00:00:00Z,2015-06-21T00:00:00Z,niccol%c3%b2-machiavellis-death-day,0,FALSE,0,286ed0e25df3c59fa39ae61f454d9320,TRUE
7,1,"[url=""http://ironmarch.org/index.php?/topic/4101-celebration-of-the-summer-solstice-in-the-3rd-reich""][b]Summer Solstice[/b][/url]<br />
<br />
[img]https://i.imgur.com/OrG4p7j.jpg[/img]",Summer Solstice,FALSE,*,2015-05-12T14:56:31Z,2015-05-12T15:07:14Z,3,2015-06-20T00:00:00Z,2015-06-21T00:00:00Z,summer-solstice,0,FALSE,0,a826ae1d1298dd701b568e110a7270ab,TRUE
8,1,"[url=""https://en.wikipedia.org/wiki/Martin_Bormann""]Martin Bormann[/url]'s Death Day<br />
<br />
[img]https://i.imgur.com/BCd43yn.jpg[/img]",Martin Bormann&#39;s Death Day,TRUE,*,2015-05-12T20:56:34Z,2015-05-12T21:22:15Z,3,2015-05-02T00:00:00Z,2015-05-02T00:00:00Z,martin-bormanns-death-day,0,FALSE,0,ebd41d4ef8644f5e70b122a9e14971d5,TRUE
9,1,"[url=""https://en.wikipedia.org/wiki/Fid%C3%A9l_P%C3%A1lffy""]FidÃ©l PÃ¡lffy[/url]'s Birthday<br />
<br />
[img]https://i.imgur.com/0A8EyPB.jpg[/img]",FidÃ©l PÃ¡lffy&#39;s Birthday,FALSE,*,2015-05-12T21:02:51Z,2015-05-12T21:02:51Z,3,2015-05-06T00:00:00Z,2015-05-06T00:00:00Z,fid%c3%a9l-p%c3%a1lffys-birthday,0,FALSE,0,228859c631bba62360e8ffc9720a547d,FALSE
10,1,"[url=""https://en.wikipedia.org/wiki/Baldur_von_Schirach""]Baldur von Schirach[/url]'s Birthday<br />
<br />
[img]https://i.imgur.com/cQjtdpx.jpg[/img]",Baldur von Schirach&#39;s Birthday,FALSE,*,2015-05-12T21:05:57Z,2015-05-12T21:05:57Z,3,2015-05-09T00:00:00Z,2015-05-09T00:00:00Z,baldur-von-schirachs-birthday,0,FALSE,0,0618975fd1a578a94c2cf64a6a0f6870,FALSE
11,1,"[url=""https://en.wikipedia.org/wiki/Per_Imerslund""]Per Imerslund[/url]'s Birthday<br />
<br />
[img]https://i.imgur.com/zThvnSW.jpg[/img]",Per Imerslund&#39;s Birthday,FALSE,*,2015-05-12T21:09:00Z,2015-05-12T21:09:00Z,3,2015-05-09T00:00:00Z,2015-05-09T00:00:00Z,per-imerslunds-birthday,0,FALSE,0,aec3e5918abf7a48563b8b894afbf992,FALSE
