item_key,item_member_id,item_app,item_last_update,item_last_saved,item_unread_count,item_read_array,item_global_reset,item_app_key_1
f802c0ccb1f57878b84127cff50ce663,1,forums,1458516124,2016-03-20T23:22:04Z,0,a:0:{},1458516124,12
66931e5c90c88e9b543f83942ddf64f3,1,forums,1458550878,2016-03-21T09:01:18Z,0,a:0:{},1458550878,30
1d45d85274a048c7a8744b5e552d25c9,1,forums,1458550876,2016-03-21T09:01:16Z,0,a:0:{},1458550876,39
9b51b6f781fffb59ac4f007ceff0eb5b,9555,forums,1458397436,2016-03-19T14:23:56Z,1,a:9:{i:1375;i:1458397436;i:4350;i:1451456338;i:5943;i:1453325620;i:4678;i:1453325624;i:3085;i:1453325633;i:4455;i:1453668185;i:5983;i:1453668195;i:153;i:1457135019;i:5593;i:1457277534;},1448314772,83
427cd625e989caf68ab7ee9eee8ff59e,7543,forums,1456516956,2016-02-26T20:02:36Z,5,a:6:{i:5915;i:1454280057;i:6024;i:1454672680;i:3304;i:1454523190;i:6046;i:1455020606;i:6075;i:1455605642;i:1170;i:1456516956;},1454255762,45
66931e5c90c88e9b543f83942ddf64f3,4,forums,1458142789,2016-03-16T15:39:49Z,1,a:3:{i:6182;i:1457620742;i:3751;i:1458142783;i:4672;i:1458142789;},1457430338,30
e1aac5f7e88b3a920ad5b9c87917f80d,1,forums,1458550828,2016-03-21T09:00:28Z,0,a:0:{},1458550828,96
068d4d230e17fccabddcfb7f345e506e,7424,forums,1458544359,2016-03-21T07:12:39Z,0,a:0:{},1458544359,99
068d4d230e17fccabddcfb7f345e506e,1558,forums,1458547314,2016-03-21T08:01:54Z,1,a:1:{i:34;i:1458547314;},1457907380,99
f802c0ccb1f57878b84127cff50ce663,25,forums,1458435302,2016-03-20T00:55:02Z,1,a:2:{i:4462;i:1458434014;i:5909;i:1458435302;},1457909062,12
dd9757fb5bc4aab3cdb88ec251acdfe9,283,forums,1456238842,2016-02-23T14:47:22Z,4,a:4:{i:6029;i:1454717732;i:5861;i:1454579017;i:5037;i:1456238805;i:3474;i:1456238842;},0,82
a0a92a50db2fd304aa0944a3a7b045cd,25,forums,1458549646,2016-03-21T08:40:46Z,3,a:119:{i:5446;i:1440869469;i:5449;i:1440784686;i:5439;i:1440976647;i:5451;i:1440788396;i:5448;i:1440861096;i:5465;i:1441122887;i:5443;i:1441123919;i:5476;i:1441484432;i:5481;i:1441637303;i:5482;i:1441657251;i:5485;i:1441736143;i:5499;i:1442260629;i:5497;i:1442235005;i:5500;i:1442260302;i:5498;i:1442260484;i:5551;i:1442943280;i:5557;i:1443027549;i:5559;i:1443041599;i:5556;i:1442969451;i:5558;i:1442969513;i:5552;i:1443059387;i:5555;i:1442973762;i:5554;i:1443203901;i:5575;i:1443153011;i:5588;i:1443319523;i:5601;i:1443563293;i:5602;i:1443478663;i:5605;i:1443755635;i:5606;i:1443563176;i:5617;i:1443754804;i:5626;i:1444073253;i:5624;i:1444073597;i:5648;i:1444747850;i:4478;i:1444785121;i:5653;i:1444823713;i:5654;i:1444823774;i:5658;i:1445188696;i:5649;i:1445188921;i:5671;i:1445386743;i:5679;i:1445595596;i:5678;i:1445596147;i:5697;i:1445937578;i:5698;i:1445869889;i:5700;i:1445899122;i:5702;i:1446398580;i:5722;i:1446552806;i:5735;i:1446827606;i:5743;i:1447163429;i:5753;i:1447101877;i:5756;i:1447354430;i:5739;i:1447240475;i:5776;i:1447619216;i:5813;i:1448371344;i:5815;i:1448324853;i:5811;i:1448370817;i:5832;i:1448917962;i:5836;i:1449252875;i:5834;i:1449362256;i:5852;i:1449311296;i:5850;i:1449311613;i:5858;i:1449706510;i:5871;i:1450090981;i:5874;i:1450122732;i:5877;i:1450214322;i:5879;i:1450568534;i:5894;i:1450718017;i:5893;i:1450750146;i:5896;i:1450837909;i:5914;i:1452104069;i:5918;i:1451451540;i:5921;i:1451605401;i:5919;i:1451452009;i:5916;i:1451452585;i:5917;i:1451453828;i:5911;i:1451521123;i:5933;i:1452272010;i:5939;i:1452502890;i:4961;i:1452294207;i:5947;i:1452714804;i:5953;i:1453105563;i:5957;i:1453069103;i:5968;i:1453505177;i:5982;i:1454160551;i:5990;i:1453809868;i:5994;i:1453848163;i:5991;i:1453850246;i:6001;i:1454156993;i:6006;i:1454284560;i:6012;i:1454356267;i:6013;i:1454955234;i:6014;i:1454360379;i:6022;i:1454845065;i:6054;i:1455132051;i:6057;i:1455134728;i:6060;i:1455377395;i:6065;i:1455476319;i:6073;i:1455484318;i:6080;i:1455631725;i:6082;i:1455652516;i:6083;i:1455645025;i:6095;i:1456171889;i:6110;i:1456183267;i:6111;i:1456242873;i:6114;i:1456332400;i:6017;i:1456406856;i:6119;i:1456781398;i:5062;i:1456481269;i:6139;i:1456964275;i:6144;i:1457120724;i:6143;i:1456922616;i:6156;i:1457271164;i:6161;i:1457478923;i:6165;i:1457431924;i:6169;i:1457462653;i:6170;i:1457479843;i:6164;i:1457479253;i:6172;i:1457520272;i:6174;i:1457597477;i:6199;i:1458549644;},1440716587,11
