conf_id,conf_title,conf_description,conf_group,conf_type,conf_key,conf_value,conf_default,conf_extra,conf_evalphp,conf_position,conf_start_group,conf_add_cache,conf_keywords
1,Enable Ad System,This setting will allow you to globally enable or disable the ad system,1,yes_no,ad_code_global_enabled,,0,,,1,Global Settings,TRUE,
2,Groups exempt from ads,Any groups that you select here will not be shown ads,1,multi,ad_code_exempt_groups,,,#show_groups#,"if ( $save == 1)
{
	if ( is_array($_POST['ad_code_exempt_groups']) )
	{
		$_POST['ad_code_exempt_groups'] = implode("","",$_POST['ad_code_exempt_groups']);
	}
	else
	{
		$_POST['ad_code_exempt_groups'] = """";
	}
	
	$key = 'ad_code_exempt_groups';
}
if ( $show == 1 )
{
    $key='ad_code_exempt_groups[]';
}",2,,TRUE,
3,Header Code,This code will be inserted into the header of every page,1,textarea,ad_code_global_header,,,,,3,,TRUE,"ad,advertisement,code,header"
4,Footer Code,This code will be inserted into the footer of every page,1,textarea,ad_code_global_footer,,,,,4,,TRUE,"ad,code,advertisement,footer"
5,Override Header Code,"Using this setting, you can replace the global header code with code specific for this section.",1,textarea,ad_code_board_index_header,,,,,5,Board Index,TRUE,
6,Override Footer Code,"Using this setting, you can replace the global footer code with code specific for this section.",1,textarea,ad_code_board_index_footer,,,,,6,,TRUE,
7,Sidebar Code,This code will be displayed in the board index sidebar,1,textarea,ad_code_board_sidebar,,,,,7,,TRUE,
8,Override Header Code,"Using this setting, you can replace the global header code with code specific for this section.",1,textarea,ad_code_forum_view_header,,,,,8,Forum View,TRUE,
9,Override Footer Code,"Using this setting, you can replace the global footer code with code specific for this section.",1,textarea,ad_code_forum_view_footer,,,,,9,,TRUE,
10,Code to display after first topic,This ad code will be displayed after the first topic,1,textarea,ad_code_forum_view_topic_code,,,,,10,,TRUE,
11,Override Header Code,"Using this setting, you can replace the global header code with code specific for this section.",1,textarea,ad_code_topic_view_header,,,,,11,Topic View,TRUE,
12,Override Footer Code,"Using this setting, you can replace the global footer code with code specific for this section.",1,textarea,ad_code_topic_view_footer,,,,,12,,TRUE,
13,Code to display after first post,This code will be displayed after the first post in a topic,1,textarea,ad_code_topic_view_code,,,,,13,,TRUE,
14,Show link to guidelines in footer,,2,yes_no,gl_show,1,0,,,1,,TRUE,
15,Title,,2,input,gl_title,Iron March Forum Charter and Mission Statement,,,,2,,TRUE,
16,External http:// link to guidelines page,Enter the URL to a set of external guidelines or if you wish to add your guidelines below simply leave this box clear.,2,input,gl_link,,,,,3,,TRUE,
