tag_cache_key,tag_cache_text,tag_cache_date
2cd36a5d4c630ce3802cb8c7a09086c9,"a:2:{s:4:""tags"";a:10:{i:0;s:23:""father charles coughlin"";i:1;s:15:""father coughlin"";i:2;s:16:""charles coughlin"";i:3;s:8:""coughlin"";i:4;s:24:""united states of america"";i:5;s:13:""United States"";i:6;s:4:""U.S."";i:7;s:7:""America"";i:8;s:3:""USA"";i:9;s:6:""Canada"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:03Z
4ce4adba46f760c9b88d21387527a79e,"a:2:{s:4:""tags"";a:1:{i:0;s:17:""political compass"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:03Z
b3b80a1bea32e7e8a6cb28da73ae7c3f,"a:2:{s:4:""tags"";a:4:{i:0;s:15:""actual idealism"";i:1;s:16:""giovanni gentile"";i:2;s:4:""true"";i:3;s:7:""fascism"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:09Z
1b15ddd5286635d6004b2ab75ab123d3,"a:2:{s:4:""tags"";a:0:{}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:16Z
efee20aa641a2fa36717fdebf117f463,"a:2:{s:4:""tags"";a:2:{i:0;s:8:""Monarchy"";i:1;s:7:""Britain"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:09Z
127c73f84b3ff08e0a80410d7bdcfe1a,"a:2:{s:4:""tags"";a:0:{}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:03Z
43ca3f67301b77f135a3c7f5bc1a3b78,"a:2:{s:4:""tags"";a:1:{i:0;s:12:""Introduction"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:13Z
d9eb242b0c991f1e1e7041149b0d11b6,"a:2:{s:4:""tags"";a:1:{i:0;s:8:""Religion"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:13Z
462c5b3fb75a8e34d3f9885d9b7b160c,"a:2:{s:4:""tags"";a:0:{}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:52Z
679dbd12c814a0ed5e4c74ba735ac610,"a:2:{s:4:""tags"";a:5:{i:0;s:9:""Iron Will"";i:1;s:9:""greetings"";i:2;s:5:""hello"";i:3;s:12:""introduction"";i:4;s:13:""introductions"";}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:13Z
0054c9bc937f82ae517489941814c648,"a:2:{s:4:""tags"";a:0:{}s:6:""prefix"";s:0:"""";}",2015-05-11T15:09:45Z
