tag_perm_aai_lookup,tag_perm_aap_lookup,tag_perm_text,tag_perm_visible
2cd36a5d4c630ce3802cb8c7a09086c9,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
4ce4adba46f760c9b88d21387527a79e,85aa9178b923fa1878ad86a0aaf847b8,"4,2,3,6,1",TRUE
b3b80a1bea32e7e8a6cb28da73ae7c3f,51deea4867472642fba67a586d8c8060,"4,2,3,6,1",TRUE
74188d2b121682dfe30279ebad107400,e8b9aa1927d352c4af04738164bf7f61,"4,2,3,6,1",TRUE
efee20aa641a2fa36717fdebf117f463,a8ec894f1cd7456aede97242cbe1b6a5,"4,2,3,6,1",TRUE
43ca3f67301b77f135a3c7f5bc1a3b78,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
d9eb242b0c991f1e1e7041149b0d11b6,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
8aee0d7062abe55f54920a64ad22d30b,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
679dbd12c814a0ed5e4c74ba735ac610,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
a9152cee70f17ba6f23da0ba4b111ed6,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
1ed082bc990a5ea86b5382ce90d66805,5da4c6fdc1736044414e40ffd1425665,"4,2,3,6,1",TRUE
8b7b6899be3f28e87409eba48bb8ad56,7c94a3a975bf63dfc177592884fd065c,"4,2,3,6",TRUE
454aa52c6a1e962507ea260c04238796,b475efb500f6079448ab7572479f3f80,"4,2,3,6,1",TRUE
98cb2de8a040917afe342aac7b8a3fb2,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
1e6d32fe23b39dc1c3872d080ac4476a,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
9efd88c0cbd868c36c8a87edfadc3bd9,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
fbfea34ca070408dfb0e19279f770e69,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
dd3a74b3ed2bdfedd6c47586a71dc96d,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
179d8cd32151688e8e46494f8ea078f2,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
d1c2293a487388ff4b6883b77718a385,f723ce15197189561d1a05725f198b5d,"4,5,2,3,6,7,1",TRUE
f519a40b08a59612866993c6da8ebe80,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
67a5f959d6271dad55165a05fef3161c,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
51614a73689cc9d7df31e1ff04be5fc0,652894f9fbf4e40ad44724b0464fd8d6,"4,2,3,6,1",TRUE
31ca89afce5e06e6edfa7d6accce7042,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
a2d920cd76da56f9e0d812fbf1816451,51deea4867472642fba67a586d8c8060,"4,2,3,6,1",TRUE
2aa4deda1a2c326901b3130c679ebc42,668e2a31c06d7a2fc62d35a7439cd366,"4,2,3,6,1",TRUE
6dc8896dae50d21779250abbcc223fae,d63cdc08d52e02e1b82fc40e8377eb77,"4,2,3,6,8,1",TRUE
7ec977de27c85a056e82e09a32a25743,c6dbf78127210280895cda9440113396,"4,2,3,6,1,8",TRUE
efbf653f51de3aa07ab13149cf2762c1,1d7b8a34d35bb07bc2f38523d958299d,"4,2,3,6,1",TRUE
