id,typed,image,clickable,emo_set,emo_position
1,:),smile.png,FALSE,default,1
2,;),wink.png,FALSE,default,2
3,:P,tongue.png,FALSE,default,3
4,:D,biggrin.png,FALSE,default,4
5,:lol:,laugh.png,FALSE,default,5
6,:(,sad.png,FALSE,default,6
7,:angry:,angry.png,FALSE,default,7
8,:mellow:,mellow.png,FALSE,default,8
9,:huh:,huh.png,FALSE,default,9
10,^_^,happy.png,FALSE,default,10
11,:o,ohmy.png,FALSE,default,11
12,B),cool.png,FALSE,default,12
13,:rolleyes:,rolleyes.gif,FALSE,default,13
14,-_-,sleep.png,FALSE,default,14
15,&lt;_&lt;,dry.png,FALSE,default,15
16,:wub:,wub.png,FALSE,default,16
17,:unsure:,unsure.png,FALSE,default,17
18,:wacko:,wacko.png,FALSE,default,18
19,:blink:,blink.png,FALSE,default,19
20,:ph34r:,ph34r.png,FALSE,default,20
21,:austrofas:,austrofas.png,FALSE,default,21
22,:merchant:,merchant.png,FALSE,default,22
23,:rockwell:,rockwell.png,FALSE,default,23
24,:squadristi:,squadristi.png,FALSE,default,24
25,:dugin:,dugin.png,FALSE,default,25
26,:falangist:,falangist.png,FALSE,default,26
27,:casapound:,casapound.png,FALSE,default,27
28,:silver:,silver.png,FALSE,default,28
29,:brazilian:,brazilian.png,FALSE,default,29
30,:nazball:,nazball.png,FALSE,default,30
31,:breivik:,breivik.png,FALSE,default,31
32,:dawn:,dawn.png,FALSE,default,32
33,:ss:,ss.png,FALSE,default,33
34,:wpww:,wpww.png,FALSE,default,34
35,:nazi:,nazi.png,FALSE,default,35
36,:ahnenerbe:,ahnenerbe.png,FALSE,default,36
37,:sa:,sa.png,FALSE,default,37
38,:blackshirt:,blackshirt.png,FALSE,default,38
39,:arditi:,arditi.png,FALSE,default,39
40,:ironguard:,ironguard.png,FALSE,default,40
41,:kkk:,kkk.png,FALSE,default,41
42,:nam:,nam.png,FALSE,default,42
43,:ikl:,ikl.png,FALSE,default,43
44,:ironmarchy:,ironmarchy.png,FALSE,default,44
45,:ironmarchy:,ironmarchy.png,FALSE,fascistballs,44
46,:),smile.png,FALSE,GeneralIMemoticons,0
47,;),wink.png,FALSE,GeneralIMemoticons,0
48,:P,tongue.png,FALSE,GeneralIMemoticons,0
49,:D,biggrin.png,FALSE,GeneralIMemoticons,0
50,:lol:,laugh.png,FALSE,GeneralIMemoticons,0
51,:(,sad.png,FALSE,GeneralIMemoticons,0
52,:angry:,angry.png,FALSE,GeneralIMemoticons,0
53,:mellow:,mellow.png,FALSE,GeneralIMemoticons,0
54,:huh:,huh.png,FALSE,GeneralIMemoticons,0
55,^_^,happy.png,FALSE,GeneralIMemoticons,0
56,:o,ohmy.png,FALSE,GeneralIMemoticons,0
57,B),cool.png,FALSE,GeneralIMemoticons,0
58,:rolleyes:,rolleyes.gif,FALSE,GeneralIMemoticons,0
59,-_-,sleep.png,FALSE,GeneralIMemoticons,0
60,&lt;_&lt;,dry.png,FALSE,GeneralIMemoticons,0
61,:wub:,wub.png,FALSE,GeneralIMemoticons,0
62,:unsure:,unsure.png,FALSE,GeneralIMemoticons,0
63,:wacko:,wacko.png,FALSE,GeneralIMemoticons,0
64,:blink:,blink.png,FALSE,GeneralIMemoticons,0
65,:ph34r:,ph34r.png,FALSE,GeneralIMemoticons,0
66,:austrofas:,austrofas.png,FALSE,GeneralIMemoticons,0
67,:merchant:,merchant.png,FALSE,GeneralIMemoticons,0
68,:rockwell:,rockwell.png,FALSE,GeneralIMemoticons,0
69,:squadristi:,squadristi.png,FALSE,GeneralIMemoticons,0
70,:dugin:,dugin.png,FALSE,GeneralIMemoticons,0
71,:falangist:,falangist.png,FALSE,GeneralIMemoticons,0
72,:casapound:,casapound.png,FALSE,GeneralIMemoticons,0
73,:silver:,silver.png,FALSE,GeneralIMemoticons,0
74,:brazilian:,brazilian.png,FALSE,GeneralIMemoticons,0
75,:nazball:,nazball.png,FALSE,GeneralIMemoticons,0
76,:breivik:,breivik.png,FALSE,GeneralIMemoticons,0
77,:dawn:,dawn.png,FALSE,GeneralIMemoticons,0
78,:ss:,ss.png,FALSE,GeneralIMemoticons,0
79,:wpww:,wpww.png,FALSE,GeneralIMemoticons,0
80,:nazi:,nazi.png,FALSE,GeneralIMemoticons,0
81,:ahnenerbe:,ahnenerbe.png,FALSE,GeneralIMemoticons,0
82,:sa:,sa.png,FALSE,GeneralIMemoticons,0
83,:blackshirt:,blackshirt.png,FALSE,GeneralIMemoticons,0
84,:arditi:,arditi.png,FALSE,GeneralIMemoticons,0
85,:ironguard:,ironguard.png,FALSE,GeneralIMemoticons,0
86,:kkk:,kkk.png,FALSE,GeneralIMemoticons,0
87,:nam:,nam.png,FALSE,GeneralIMemoticons,0
88,:ikl:,ikl.png,FALSE,GeneralIMemoticons,0
89,:ironmarchy:,ironmarchy.png,FALSE,GeneralIMemoticons,0
90,:nameit:,checkit.png,FALSE,default,45
91,:nameit:,checkit.png,TRUE,GeneralIMemoticons,45
92,:nameit:,checkit.png,FALSE,fascistballs,45
93,:nokike:,nokike.png,TRUE,default,46
94,:nokike:,nokike.png,TRUE,GeneralIMemoticons,46
95,:nokike:,nokike.png,TRUE,fascistballs,46
96,:NA:,NA.png,TRUE,default,47
97,:NA:,NA.png,TRUE,GeneralIMemoticons,47
98,:NA:,NA.png,TRUE,fascistballs,47
