id,topics,posts,last_post,last_poster_id,last_poster_name,name,description,position,use_ibc,last_title,last_id,sort_key,sort_order,prune,topicfilter,show_rules,allow_poll,allow_pollbump,inc_postcount,skin_id,parent_id,notify_modq_emails,sub_can_post,permission_showtopic,forum_allow_rating,forum_last_deletion,newest_title,newest_id,can_view_others,name_seo,seo_last_title,seo_last_name,last_x_topic_ids,deleted_topics,viglink
1,0,0,,0,,Iron March HQ,,1,FALSE,,0,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,iron-march-hq,,,a:0:{},FALSE,TRUE
92,25,517,2016-02-07T18:26:19Z,9503,HermannTheGerman,Activism,Discussions on political activism.,2,TRUE,Are you fit for combat?,4457,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,31,0,TRUE,FALSE,FALSE,1443829425,Support and Aid,5977,TRUE,activism,are-you-fit-for-combat,hermannthegerman,"a:5:{i:5977;s:10:""1453360580"";i:5265;s:10:""1433998368"";i:4962;s:10:""1426974366"";i:4802;s:10:""1423636960"";i:4616;s:10:""1419909334"";}",FALSE,FALSE
2,14,307,2016-02-19T08:35:50Z,2820,ZHICA,Adminship Center,Forum Announcements and Charter.,1,TRUE,IM Proud to Launch: NOOSE,5869,last_post,Z-A,100,all,FALSE,TRUE,TRUE,TRUE,FALSE,1,,TRUE,FALSE,TRUE,1436098187,IM Proud to Launch: NOOSE,5869,TRUE,adminship-center,im-proud-to-launch-noose,zhica,"a:5:{i:5869;s:10:""1449985568"";i:5490;s:10:""1442118645"";i:5130;s:10:""1431173275"";i:4287;s:10:""1410808368"";i:3080;s:10:""1381265400"";}",FALSE,FALSE
10,0,0,,0,,The Beer Hall,,10,TRUE,,,,,0,,,FALSE,FALSE,FALSE,,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,the-beer-hall,,,,FALSE,FALSE
5,33,1382,2016-03-18T12:26:14Z,1,ÐÐ»ÐµÐºÑÐ°Ð½Ð´Ñ€ Ð¡Ð»Ð°Ð²Ñ€Ð¾Ñ,The Trenches,All things IronMarch.,2,TRUE,New Header Design,62,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,104,0,TRUE,FALSE,FALSE,1427405548,Memorializing Comrades,5725,TRUE,the-trenches,new-header-design,%d0%b0%d0%bb%d0%b5%d0%ba%d1%81%d0%b0%d0%bd%d0%b4%d1%80-%d1%81%d0%bb%d0%b0%d0%b2%d1%80%d0%be%d1%81,"a:5:{i:5725;s:10:""1446585668"";i:5286;s:10:""1434547428"";i:5188;s:10:""1432228812"";i:5150;s:10:""1431445065"";i:5143;s:10:""1431359684"";}",FALSE,FALSE
7,0,0,,0,,The News,,7,FALSE,,,,,0,,,FALSE,FALSE,FALSE,,-1,,FALSE,TRUE,FALSE,0,,0,FALSE,the-news,,,,FALSE,TRUE
97,51,1101,2016-03-13T17:16:33Z,9510,TheDrifter,Movies & TV series,Discussions of mainstream media.,3,TRUE,Game of Thrones,5220,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,96,0,TRUE,FALSE,FALSE,1447886023,Third Reich Movies [33 movies - DOWNLOADABLE],6101,TRUE,movies-tv-series,game-of-thrones,thedrifter,"a:5:{i:6101;s:10:""1455980310"";i:5995;s:10:""1453833151"";i:5945;s:10:""1452539900"";i:5941;s:10:""1452250633"";i:5900;s:10:""1450913614"";}",FALSE,FALSE
90,19,561,2016-03-21T07:07:09Z,9521,Unity,Sport & Fitness,"Sports and sport fans discussions, fitness and workout.",9,TRUE,Your physical activity and diet thread,4329,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1415795508,Fencing,6202,TRUE,sport-fitness,your-physical-activity-and-diet-thread,unity,"a:5:{i:6202;s:10:""1458041271"";i:5318;s:10:""1435525328"";i:5257;s:10:""1433741608"";i:5086;s:10:""1429898420"";i:4646;s:10:""1420491817"";}",FALSE,FALSE
12,105,3997,2016-03-20T22:56:42Z,9149,Oskar Dirlewanger Fan,General Discussions,General discussion not necessarily related to politics.,2,TRUE,Torture,6097,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,10,0,TRUE,FALSE,FALSE,1457668319,Dumbest rioters by nationality,6191,TRUE,general-discussions,torture,oskar-dirlewanger-fan,"a:5:{i:6191;s:10:""1457802237"";i:6097;s:10:""1455761755"";i:6076;s:10:""1455566078"";i:5987;s:10:""1453730673"";i:5920;s:10:""1451429438"";}",FALSE,TRUE
11,937,18143,2016-03-21T08:37:42Z,9950,Schmiss,Introductions,Introduce yourself here.,1,TRUE,Yo,6199,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,10,0,TRUE,FALSE,FALSE,1455663777,Shalom,6208,TRUE,introductions,yo,schmiss,"a:5:{i:6208;s:10:""1458178419"";i:6199;s:10:""1458038783"";i:6195;s:10:""1458023575"";i:6193;s:10:""1458009651"";i:6174;s:10:""1457501154"";}",FALSE,TRUE
111,1,84,2016-03-07T23:31:27Z,9920,kehlsteinhaus,Shrimp Bunker,Private sub for talking shop and activism.,2,TRUE,Australian Action&#33; IM Chapters and Beyond,5312,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,108,0,TRUE,FALSE,FALSE,0,Australian Action&#33; IM Chapters and Beyond,5312,TRUE,shrimp-bunker,australian-action-im-chapters-and-beyond,kehlsteinhaus,"a:1:{i:5312;s:10:""1435410937"";}",FALSE,FALSE
13,152,5551,2016-03-20T18:36:14Z,288,Â Â Â ,Wastelands,Idiotic topics and other trash.,4,TRUE,ANTI-NORDICISM-MOTIVATED classical greaseball-fash playpen,6171,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,12,0,TRUE,FALSE,FALSE,1457764923,&#34;Victory Day&#34; March is the stupidest march ever...,6188,TRUE,wastelands,anti-nordicism-motivated-classical-greaseball-fash-playpen,%c2%a0%c2%a0%c2%a0,"a:5:{i:6188;s:10:""1457686277"";i:6181;s:10:""1457552329"";i:6171;s:10:""1457417589"";i:6149;s:10:""1457101305"";i:6106;s:10:""1456073560"";}",TRUE,FALSE
14,0,0,,0,,Specific subjects,Specialized subforums for various topics.,5,TRUE,,,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,10,0,FALSE,FALSE,FALSE,0,,0,TRUE,specific-subjects,,,,FALSE,TRUE
15,92,1265,2016-03-15T05:04:44Z,9930,ItalianFascist,History and War,Discussions of history and human conflict.,11,TRUE,Imperial Japan,5704,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1445974230,Our Trip to Fort Christmas,6103,TRUE,history-and-war,imperial-japan,italianfascist,"a:5:{i:6103;s:10:""1456013387"";i:6045;s:10:""1454944434"";i:5866;s:10:""1449758795"";i:5857;s:10:""1449516055"";i:5704;s:10:""1445963091"";}",FALSE,TRUE
16,35,548,2016-03-19T03:20:31Z,9482,h8chanz,Psychology,"""Not Arithmetics but Psychology makes History"".",14,TRUE,"anti-socials, sociopaths, psychopaths",4477,last_post,Z-A,100,all,,TRUE,FALSE,TRUE,,14,0,TRUE,FALSE,FALSE,1446722547,Robotic Technology Inc Does Study of Memetic Warfare for Social Media for Defence Summit,6026,TRUE,psychology,anti-socials-sociopaths-psychopaths,h8chanz,"a:5:{i:6026;s:10:""1454485330"";i:5876;s:10:""1450157438"";i:5508;s:10:""1442457455"";i:5222;s:10:""1432923945"";i:5169;s:10:""1431837138"";}",FALSE,TRUE
17,0,0,,0,,Race War Central,,17,TRUE,,,,,0,,,FALSE,FALSE,FALSE,,-1,,FALSE,TRUE,FALSE,0,,0,TRUE,race-war-central,,,,FALSE,FALSE
