action_id,action_status_id,action_reply_id,action_member_id,action_date,action_key,action_status_owner
1,1,0,22,1316098429,new,22
2,2,0,14,1316397519,new,14
6,6,0,35,1319211330,new,35
7,7,0,35,1319935567,new,35
8,8,0,35,1319935570,new,35
10,11,0,35,1321967601,new,35
11,12,0,89,1324039690,new,89
12,2,1,35,1324554161,reply,14
17,2,2,132,1328301526,reply,14
19,19,0,143,1328730328,new,143
20,20,0,143,1328846880,new,143
23,23,3,143,1330034455,reply,143
25,25,0,143,1331328599,new,143
26,26,0,84,1331672012,new,84
27,27,0,161,1332451449,new,161
29,27,5,164,1332465964,reply,161
30,28,0,143,1332804371,new,143
31,29,0,130,1332911151,new,130
33,26,6,191,1333131553,reply,84
39,36,0,198,1333180570,new,198
38,35,0,198,1333180272,new,198
40,29,7,132,1333328200,reply,130
41,37,0,143,1333702479,new,143
364,222,0,130,1346988671,new,130
44,29,8,130,1333757778,reply,130
45,29,9,130,1333758050,reply,130
46,40,0,130,1333758134,new,130
47,41,0,143,1333966454,new,143
48,42,0,143,1334049783,new,143
49,43,0,143,1334049784,new,143
50,44,0,16,1334271691,new,16
51,45,0,143,1334337026,new,143
52,46,0,130,1334388556,new,130
53,47,0,143,1334732517,new,143
54,48,0,143,1334867923,new,143
55,49,0,161,1334887766,new,161
56,50,0,130,1335132068,new,130
363,218,165,164,1346960955,reply,335
78,68,0,16,1340067377,new,16
60,26,10,84,1335455835,reply,84
61,54,0,130,1335463857,new,130
62,55,0,130,1336931073,new,130
63,56,0,198,1337141606,new,198
64,57,0,198,1337141613,new,198
66,59,0,130,1338266224,new,130
67,60,0,54,1338322358,new,54
68,49,11,246,1338862771,reply,161
69,61,0,246,1338864042,new,246
70,62,0,130,1338904072,new,130
71,62,12,246,1339245672,reply,130
72,62,13,130,1339368039,reply,130
73,63,0,130,1339368079,new,130
74,64,0,265,1339454924,new,265
75,65,0,265,1339454926,new,265
76,66,0,246,1339455574,new,246
79,69,0,267,1340166757,new,267
80,70,0,246,1340252556,new,246
81,71,0,287,1340493150,new,287
83,68,14,279,1340505368,reply,16
84,71,15,279,1340505390,reply,287
150,105,0,67,1343242937,new,67
88,76,0,130,1340574052,new,130
89,76,16,164,1340702664,reply,130
