reply_id,reply_status_id,reply_member_id,reply_date,reply_content
1,2,35,1324554161,Try living in Indiana.
2,2,132,1328301526,Try living in Finland. -25 celsius and strong wind. Augh yeah.
3,23,143,1330034455,"Omg, blocked."
5,27,164,1332465964,Yeah it&#39;s so annoying dealing with poorly designed web 1.0 stuff. I just got done browsing through AlternateHistory.com for sources and stuff and so many of the links were malformed or took forever to load because of the &#39;03-04 era tech.
6,26,191,1333131553,And I&#39;m a country girl
7,29,132,1333328200,*hmm...slavsicles...*
8,29,130,1333757777,lolgenocide
9,29,130,1333758050,I didn&#39;t even know you could comment on these.
10,26,84,1335455835,I thank God for that too&#33; ;)
11,49,246,1338862771,"I prefer the &quot;counter-revolution&quot;, but perhaps that&#39;s splitting hairs?"
12,62,246,1339245672,"Who do you think is more to blame? SoG, NSP, or FascCap?"
13,62,130,1339368039,"NSP is at least ideologically serious.<br />FC is a running joke, so I&#39;d expect him to do that.<br />I&#39;d blame SoG and his autism for that shitnado."
14,68,279,1340505368,An extra coffee never hurts.
15,71,279,1340505390,"I bid you welcome, brother."
16,76,164,1340702664,"Yeah, it&#39;s getting to be pretty gross."
17,49,279,1340758425,Traditional(ist) Socialism/Distributism?
18,49,7,1341134978,Liberals academics like Anthony King/ Fareed Zakaria/ Robert A. Dahl/ Douglas Holmes/etc  use the term &#39;counter-enlightenment&#39;
19,76,279,1341199242,We could easily get rid of new ones by making a mandatory questionnaire when a person registers and manual approval by the staff for account activation.
20,76,164,1341482257,In theory that could work but it seems like that sort of hassle would drive away a lot of members too. Then again I don&#39;t want this place turning into SF-lite which it seems to be well on track to becoming.
21,76,279,1341484429,"Well, we must stop the hordes of invaders one way or another."
22,76,130,1341724679,"Well they&#39;re retards for the most part, they tend to leave when they see this forum operates at an 11th grade level at the minimum."
23,91,130,1341725031,The woman-hating is reaching epidemic levels
24,76,279,1341731822,True enough.
25,91,54,1341737769,"An unemployed man in his twenties wondering why he canâ€™t meet a kind intelligent girl as he wipes grease onto his pants and types a blog post about how American women are fat ugly feminist whores, with Redtube open in the adjacent tab"
26,99,130,1342117954,"No,  I&#39;m not serious."
27,99,130,1342117972,"About the nominate thing, not the JIDF thing."
28,99,130,1342117988,Cuz I&#39;m definitely JIDF. That&#39;s what I&#39;ve been told.
29,99,279,1342132778,JIDF detector active.
30,95,130,1342149478,No. Muh Empire.
31,95,279,1342202361,"Ist Ãœber Alles, Ja?"
32,95,67,1342202444,Muh Canadian mixed-blood nigger empire.
34,95,279,1342203379,"Nein, nein, nein. Muh Ãœber Reich."
35,95,67,1342203632,LOLOLOLOL you mean Turkish Reich.
36,95,279,1342203689,Since when am I a Turk?
37,95,67,1342203749,"Germany = Turkish Reich. You&#39;re from the States, ja?"
40,95,67,1342204056,European Caliphate.
