pid,tid,start_date,choices,starter_id,votes,forum_id,poll_question,poll_view_voters
1,370,2011-12-13T15:25:38Z,"a:1:{i:1;a:3:{s:8:""question"";s:10:""Whodunnit?"";s:6:""choice"";a:2:{i:1;s:7:""Muslims"";i:2;s:7:""Breivik"";}s:5:""votes"";a:2:{i:1;i:9;i:2;i:4;}}}",4,13,88,,FALSE
3,599,2012-02-14T00:03:33Z,"a:1:{i:1;a:3:{s:8:""question"";s:21:""Democracy has failed."";s:6:""choice"";a:2:{i:1;s:21:""NO MORE BROTHERS WARS"";i:2;s:12:""POOLS CLOSED"";}s:5:""votes"";a:3:{i:1;i:9;i:2;i:5;i:3;N;}}}",4,12,13,THERE WAS A HUGE EDITING WAR AND WHAT WE HAVE LEARNED IS,FALSE
4,682,2012-03-06T16:28:36Z,"a:1:{i:1;a:3:{s:8:""question"";s:55:""Demographics gathered; thank you for your participation"";s:6:""choice"";a:5:{i:1;s:5:""Young"";i:2;s:11:""Young Adult"";i:3;s:5:""Adult"";i:4;s:11:""Older Adult"";i:5;s:21:""The grave calls me..."";}s:5:""votes"";a:5:{i:1;i:1;i:2;i:31;i:3;i:5;i:4;i:3;i:5;i:1;}}}",14,41,99,Answer the Question,TRUE
6,939,2012-05-11T01:31:58Z,"a:1:{i:1;a:3:{s:8:""question"";s:21:""Do you have insomnia?"";s:6:""choice"";a:2:{i:1;s:3:""Yes"";i:2;s:2:""No"";}s:5:""votes"";a:2:{i:1;i:16;i:2;i:23;}}}",0,39,99,Do you have insomnia?,FALSE
11,1422,2012-09-06T04:27:51Z,"a:1:{i:1;a:3:{s:8:""question"";s:56:""How would peer-to-peer and torrent downloads be handled?"";s:6:""choice"";a:4:{i:1;s:92:""It should be completely restricted to cut down on piracy of products and bandwidth resources"";i:2;s:117:""Well, I use it sometimes but not that often, so leave it as is now (illegal but mostly unregulated, like in the U.S.)"";i:3;s:129:""P2P and torrents are still good for legal purposes (free and open-source distribution) Regulate it to cut down on illegal content"";i:4;s:62:""P2P sharing should be fully legal, as far as I&#39;m concerned"";}s:5:""votes"";a:4:{i:1;i:1;i:2;i:5;i:3;i:6;i:4;i:8;}}}",274,20,24,How would peer-to-peer and torrent downloads be handled in such a society?,FALSE
18,2784,2013-08-10T01:03:42Z,"a:1:{i:1;a:3:{s:8:""question"";s:23:""Wasn&#39;t OP a faggot?"";s:6:""choice"";a:2:{i:1;s:40:""Probably Knight, readings off the charts"";i:2;s:54:""Might not be Knight, even though they have the same IP"";}s:5:""votes"";a:2:{i:1;i:19;i:2;i:3;}}}",6201,22,99,How Gay is the OP?,TRUE
20,2830,2013-08-19T20:44:13Z,"a:1:{i:1;a:4:{s:8:""question"";s:24:""Which one should KU ban?"";s:5:""multi"";i:1;s:6:""choice"";a:2:{i:1;s:14:""VikingHeritage"";i:2;s:10:""InTheRight"";}s:5:""votes"";a:2:{i:1;i:14;i:2;i:11;}}}",0,25,78,Mexican or Muslim Immigrants which would you rather ?,FALSE
23,3136,2013-10-22T13:27:17Z,"a:1:{i:1;a:3:{s:8:""question"";s:18:""Where do you live?"";s:6:""choice"";a:5:{i:1;s:7:""Midwest"";i:2;s:10:""East Coast"";i:3;s:5:""South"";i:4;s:17:""Pacific NorthWest"";i:5;s:15:""West/South West"";}s:5:""votes"";a:5:{i:1;i:8;i:2;i:19;i:3;i:12;i:4;i:5;i:5;i:8;}}}",35,52,45,Where do you live?,FALSE
24,3731,2014-03-15T05:34:15Z,"a:1:{i:1;a:3:{s:8:""question"";s:34:""Will the fascists crush democracy?"";s:6:""choice"";a:4:{i:1;s:17:""Aye. Cruz mea lux"";i:2;s:38:""No. The SPLC will fight to the death. "";i:3;s:36:""Putin will invade Times Square first"";i:4;s:37:""This is clearly a plot by Crab People"";}s:5:""votes"";a:4:{i:1;i:0;i:2;i:2;i:3;i:5;i:4;i:15;}}}",6122,22,88,,FALSE
25,3897,2014-04-30T20:33:11Z,"a:1:{i:1;a:3:{s:8:""question"";s:54:""Is global climate change anthropogenic (human caused)?"";s:6:""choice"";a:2:{i:1;s:61:""Yes. The data overwhelmingly support it. [or other reasoning]"";i:2;s:63:""No. There are not enough data to prove it. [or other reasoning]"";}s:5:""votes"";a:2:{i:1;i:11;i:2;i:12;}}}",6306,23,26,Climate Change,TRUE
