friends_id,friends_member_id,friends_friend_id,friends_approved,friends_added
1,10,2,TRUE,1315921996
2,2,10,TRUE,1315921996
218,13,10,TRUE,1327664896
217,10,13,TRUE,1327664896
5,2,1,TRUE,1315937852
6,1,2,TRUE,1315937852
259,2,132,TRUE,1328295675
260,132,2,TRUE,1328295675
9,22,1,TRUE,1316098018
10,1,22,TRUE,1316098018
11,2,17,TRUE,1316099506
12,17,2,TRUE,1316099506
13,1,7,TRUE,1316099693
14,7,1,TRUE,1316099694
15,1,9,FALSE,1316099706
16,11,2,TRUE,1316144915
17,2,11,TRUE,1316144916
18,11,1,TRUE,1316144921
19,1,11,TRUE,1316144921
20,11,7,TRUE,1316144959
21,7,11,TRUE,1316144959
239,108,29,TRUE,1328154969
23,10,1,TRUE,1316186722
24,1,10,TRUE,1316186722
25,10,9,FALSE,1316186789
26,2,7,TRUE,1316382346
27,7,2,TRUE,1316382347
28,10,11,TRUE,1316561890
29,11,10,TRUE,1316561890
1713,158,1772,TRUE,1352548888
1714,1772,49,TRUE,1352550240
32,10,16,TRUE,1316628605
33,16,10,TRUE,1316628606
34,16,11,TRUE,1316665436
35,11,16,TRUE,1316665439
36,8,2,TRUE,1316729608
37,2,8,TRUE,1316729608
38,8,35,TRUE,1316729631
39,35,8,TRUE,1316729631
40,8,14,TRUE,1316730892
41,14,8,TRUE,1316730892
42,8,17,TRUE,1316730971
43,17,8,TRUE,1316730971
44,8,11,TRUE,1316749823
45,11,8,TRUE,1316749823
46,35,7,TRUE,1316782223
47,7,35,TRUE,1316782224
48,2,35,TRUE,1316949529
49,35,2,TRUE,1316949530
50,14,35,TRUE,1316971060
51,35,14,TRUE,1316971061
52,39,9,FALSE,1316982917
53,41,22,FALSE,1317023031
54,22,41,FALSE,1317122502
55,11,43,TRUE,1317367593
56,43,11,TRUE,1317367593
57,35,9,FALSE,1317382849
58,22,44,TRUE,1317384265
59,44,22,TRUE,1317384265
62,35,17,TRUE,1317595894
