rating_id,rating_for_member_id,rating_by_member_id,rating_ip_address,rating_value
1,44,22,178.7.118.182,5
2,1,89,86.145.168.97,4
3,1,11,109.77.25.198,5
4,1,2,68.37.21.125,5
5,1,10,71.255.83.251,5
6,61,134,99.22.216.224,5
7,64,13,77.249.103.246,1
8,64,101,92.251.65.142,1
9,100,101,92.251.65.142,5
10,84,13,77.249.103.246,1
11,100,13,77.249.103.246,5
12,138,101,92.251.65.142,1
13,108,101,92.251.65.142,4
14,1,101,92.251.65.142,5
15,13,101,92.251.65.142,5
16,84,10,71.255.83.251,1
17,140,84,70.171.16.52,1
18,125,84,70.171.16.52,1
19,144,84,70.171.16.52,1
20,64,84,70.171.16.52,5
21,79,84,70.171.16.52,1
22,67,84,70.171.16.52,1
23,130,84,70.171.16.52,5
24,146,84,70.171.16.52,1
25,84,144,108.16.167.79,1
26,5,84,70.171.16.52,1
27,158,84,70.171.16.52,1
28,16,14,71.114.54.74,5
29,84,140,24.229.117.252,1
30,144,140,24.229.117.252,5
31,35,84,98.18.156.165,1
32,84,35,69.245.181.16,1
33,22,35,69.245.181.16,5
34,159,140,24.229.117.252,5
35,100,54,192.133.84.6,5
36,152,35,98.220.119.183,5
37,146,35,98.220.119.183,5
38,164,84,75.91.101.117,5
39,159,67,70.48.97.6,1
40,16,10,71.255.83.251,5
41,2,10,71.255.83.251,5
42,7,10,71.255.83.251,5
43,140,132,91.153.61.213,5
44,64,164,134.88.170.184,5
45,11,10,71.255.83.251,5
46,2,143,64.189.76.149,5
47,67,132,91.153.61.213,5
48,84,161,50.66.9.47,1
49,35,14,71.114.53.245,5
50,84,132,91.153.61.213,1
51,16,164,134.88.170.184,5
55,14,84,70.171.16.52,1
56,100,84,70.171.16.52,1
58,91,67,65.92.176.113,5
59,161,67,65.92.176.113,5
60,182,84,66.184.148.18,1
62,182,132,91.153.61.213,5
63,84,14,71.114.53.245,1
64,108,14,71.114.53.245,5
65,84,114,79.67.89.134,5
66,14,132,91.153.61.213,5
67,191,84,70.171.16.52,5
68,84,191,69.245.181.16,5
69,84,101,92.251.65.142,1
70,13,35,69.245.181.16,5
71,130,197,89.136.88.101,5
72,108,197,89.136.88.101,5
73,1,197,89.136.88.101,5
74,191,140,24.229.117.252,1
75,142,191,69.245.181.16,5
76,5,114,88.104.170.252,1
77,197,67,65.92.176.113,1
78,197,101,92.251.65.142,1
79,28,164,68.109.227.92,5
80,197,140,24.229.117.252,5
81,158,35,69.245.181.16,5
82,205,84,151.213.166.157,1
83,61,14,71.114.53.245,1
84,157,35,98.220.119.183,5
85,13,72,112.205.76.27,5
86,84,205,209.18.49.94,1
87,91,84,99.108.96.142,1
89,23,35,69.245.181.16,5
90,91,125,77.38.156.66,5
91,14,108,208.33.154.138,5
92,14,10,71.255.82.71,5
93,14,11,93.107.85.227,3
316,1080,298,74.109.247.94,1
95,230,164,134.88.170.184,5
96,1,54,75.57.124.113,5
97,48,84,70.171.16.52,5
98,197,35,98.220.119.183,5
99,7,14,71.114.53.245,1
315,317,125,77.38.156.66,1
101,84,3,68.10.22.61,1
103,184,164,68.109.227.92,5
104,158,14,71.114.51.161,1
105,100,22,188.110.61.200,5
106,11,19,151.41.39.172,4
107,246,14,71.114.51.161,5
108,91,35,69.245.181.16,5
109,35,246,71.54.72.205,5
110,84,68,166.249.113.80,1
111,164,68,166.249.113.80,1
112,49,68,166.249.114.46,1
113,132,164,68.109.227.92,5
114,114,84,70.171.8.13,5
115,84,67,174.93.144.101,1
116,7,49,173.62.203.80,5
117,84,72,112.205.76.27,1
118,271,84,70.171.8.13,5
119,271,10,71.251.44.214,1
120,139,84,70.171.8.13,1
121,84,271,76.23.38.38,5
122,267,84,70.171.8.13,1
123,158,132,91.153.61.213,5
124,8,84,70.171.8.13,5
125,67,125,77.38.156.66,5
126,139,132,91.153.61.213,5
127,267,10,71.251.44.214,1
128,267,72,112.205.76.27,5
129,84,146,186.19.178.174,1
130,271,146,186.19.178.174,1
131,129,84,70.171.8.13,5
132,272,164,68.109.227.92,5
314,2,317,198.86.53.67,5
134,263,84,70.171.8.13,1
135,108,8,50.15.82.214,5
136,72,8,50.15.82.214,4
137,279,234,76.168.21.154,4
138,271,72,112.205.76.27,1
139,296,72,112.205.76.27,1
140,125,72,112.205.76.27,5
141,279,8,50.15.82.214,5
512,4,68,70.194.2.219,5
143,279,108,208.33.154.138,5
144,108,84,75.88.124.138,1
