id,status,points,img
1,1,1,style_extra/report_icons/flag_gray.png
2,1,2,style_extra/report_icons/flag_blue.png
3,1,4,style_extra/report_icons/flag_green.png
4,1,7,style_extra/report_icons/flag_orange.png
5,1,12,style_extra/report_icons/flag_red.png
6,2,1,style_extra/report_icons/flag_gray_review.png
7,3,0,style_extra/report_icons/completed.png
8,2,2,style_extra/report_icons/flag_blue_review.png
9,2,4,style_extra/report_icons/flag_green_review.png
10,2,7,style_extra/report_icons/flag_orange_review.png
11,2,12,style_extra/report_icons/flag_red_review.png
