vid,ip_address,vote_date,tid,member_id,forum_id,member_choices
1,77.249.103.246,1323790101,370,13,88,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
2,86.21.53.46,1323790499,370,4,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
3,108.13.155.97,1323791995,370,29,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
4,86.7.229.239,1323800768,370,6,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
5,31.220.211.18,1323801140,370,7,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
6,152.33.21.65,1323805321,370,16,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
7,192.101.250.250,1323822724,370,68,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
8,71.185.163.249,1323843605,370,49,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
9,131.181.251.22,1323871708,370,65,88,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
27,201.236.119.199,1324958167,370,44,88,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
54,68.204.108.97,1328857815,370,142,88,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
42,112.205.40.73,1326887287,370,72,88,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
55,86.4.47.94,1329177828,599,4,66,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
77,71.185.163.249,1329508274,599,49,13,"a:1:{i:1;a:1:{i:0;s:1:""1"";}}"
57,70.48.97.41,1329178200,599,67,66,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
58,24.229.117.252,1329178721,599,140,66,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
59,69.65.204.203,1329179229,599,64,66,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
60,68.37.21.125,1329180836,599,2,66,"a:1:{i:1;a:1:{i:0;s:1:""2"";}}"
61,75.91.88.47,1329181047,599,84,66,"a:1:{i:1;a:1:{i:0;s:1:""3"";}}"
