Convo No.,msg_id,msg_topic_id,msg_date,msg_post,msg_post_key,msg_author_id,msg_ip_address,msg_is_first_post
1,22401,5127,1486661359,"<p>
 Whats up Devil. I got my UH Contract so now I have that guarunteed 0300 slot. Hopefully I'll be in Lejeune by next year after ITB. Stick around so I can have some Fascist friends on base haha.
 </p>",0,13110,107.77.76.119,0
,22402,5127,1486665532,"<p>
 Good shit man. It's gonna suck but at least you won't be a damn pog. ITB will be fun, depending on what company you get.
 </p>",0,13865,99.195.157.23,0
,22403,5127,1486671348,"<p>
 Any words of advice? I heard ITB is a lot of ruck marches and shit.
 </p>",0,13110,173.63.240.87,0
,22405,5127,1486673855,"<p>
 Foreal, boot camp and ITB are gonna be the easiest parts of the Marines, not gonna lie. The hikes aren't too bad, the worst one for me was the 20k and that's bc it was raining nonstop and we were the last platoon. My feet were destroyed and we had mout town right after that. The Crucible isn't that bad honestly, it sucks while you're in the middle of it but that's everything. You're gonna have a couple hell days with your DI's which will be worse. The hard part is gonna be getting to your unit and not having someone tell you what to do or not do. Work your ass off now getting ready for it and suffer less while you're there.
 </p>",0,13865,173.10.205.182,0
,22406,5127,1486676700,"<p>
 Also as a general question for ideologies among most Marines, how many of your compatriots would you consider to be Right-Wing or Fascist? I know there are a lot of spics in the Corps now, but have you managed to find anybody else with our views?
 </p>",0,13110,173.63.240.87,0
,22407,5127,1486678266,"<p>
 Yes, surprisingly enough, most of the guys I've listened to on podcasts and such that are former or currently in the military are Marines. One is even a Major. In my unit, there's another guy who could'v easily been a grand wizard Inn the local Klan. He's very fascist, way before I even considered it. You'll probably find the most anti establishment and hard right guyside in the Marines. In my experience anyways. The only catch up you might find is the race question, but depending on who they are personally they're probably already privy to it. For most Marines however, we're all green underneath.
 </p>",0,13865,99.195.157.23,0
,22408,5127,1486678566,"<p>
 I have a lot of Fascist friends in the Army. They say there are a lot of ""Red-pilled"" Soldiers due to the fact that major bases like Fort Bragg are infested with Niggers. Also what unit are you attached to? I know Lt Col. Liston in 2nd LAR based in Lejeune. That guy gave me a lot of advice before I joined.
 </p>",0,13110,173.63.240.87,0
,22410,5127,1486678844,"<p>
 Damn. Lots of guys in the military become red pilled. Seeing first hand how little the government actually takes care of its fighting force, much less it's citizens is more than enough for many. And if that's not enough, killing some sand niggers does the rest. There's a catch 22 though. Some come out of it for some reason, utterly blue pilled. I'm with 3/23.
 </p>",0,13865,99.195.157.23,0
,22411,5127,1486678947,"<p>
 Have you been keeping up with Trump? Him and Maddog are lashing out at Iran. Hopefully one day we get to march through Tehran. Only reason I joined was for training and Combat experience.
 </p>",0,13110,173.63.240.87,0
,22412,5127,1486678999,"<p>
 3/23? Wait are you a reservist?
 </p>",0,13110,173.63.240.87,0
,22413,5127,1486679309,"<p>
 Bruh lol I was supposed to be going Helmad but instead our unit got dropped from it even though we were the best in the battalion. My only problem with fuckin with Iran is what Russias take on it. I didn't not vote for Hillary just to see us back at odds with Russia again. Like I said, I got no problem shootin some Dune jockies but if that's just gonna cause more tensions with Putin it's probably best not to. I joined with the same reasoning. I may or may not look into pmc work after my enlistment, who knows, but at some point I plan on shooting towards a public office seat.
 </p>",0,13865,99.195.157.23,0
,22414,5127,1486679708,"<p>
 That's actually really interesting. After my active duty I plan on either creating a Paramilitary or doing PMC work as well. I've considered the French Foreign Legion if I'm still up for it in the end. Why did you pick Reserves? Have you picked up rank quickly? I hear Reservists get promoted fast. Whats your current rank?
 </p>",0,13110,173.63.240.87,0
,22416,5127,1486680921,"<p>
 Lol reservists pick up rank fast he says. No, I JUST got lcpl. I've been in for 2 years and just fucking got it. I've got active cats I graduated boot camp and ITB with that are already Cpl. And contrary to popular belief, our unit kicked ass at 29 stumps. The coyotes said we out performed lots of active companies they've seen in the past. If I go pmc after enlistment I might go down to Mobile, there's a guy there that only hires Marine grunts. He hires out for naval guarding so shit like Captain Phillips doesn't happen again.
 </p>",0,13865,99.195.157.23,0
,22417,5127,1486681200,"<p>
 Haha congrats Lance Coolie. Have you considered Academi (Blackwater)? I'm not too sure what they're up to these days but that's typically what most guys go for. Honestly the volatile conflicts these days seem too boring for me. I was considering Ukraine or Syria but both wars are bullshit. Nothing really worth backing over there.
 </p>",0,13110,173.63.240.87,0
,22418,5127,1486681760,"<p>
 I considered Syria as well but all you'd be doing is helping Muslims fight Muslims. The Ukrainian conflict is edgy simply bc I'm not a fan of whites vs whites. But they're picking back up from what I hear. Romania may be another stomping ground. They're peacefully ousting their parliament there but who knows what that can turn into once NATO gets their fingers in it. There's a lot of unknowns, especially in what can happen in 4 years time.
 </p>",0,13865,99.195.157.23,0
,,,,,,,,
2,22511,5203,1487205669,"<p>
 I took the oath and enlisted into the army yesterday! I'll be leaving to basic in just a few days. Thought I'd let you know
 </p>",0,9446,100.33.36.131,1
,22512,5203,1487206006,"<p>
 Nice! What fort you going to and what MOS you sign as?
 </p>",0,7600,2600:1006:b055:bba6:8484:d370:2f5c:fe96,0
,22513,5203,1487207427,"<p>
 I'm going to benning and I'm going Infantry... there was tons of jobs available for me but from the beginning I wanted 11x.
 </p>",0,9446,100.33.36.131,0
,22514,5203,1487209469,"<p>
 I was at benning too. Did you get a sign up bonus?
 </p>",0,7600,173.168.94.40,0
,22515,5203,1487209910,"<p>
 Yeah I got a $20,000 bonus
 </p>",0,9446,100.33.36.131,0
,22516,5203,1487210359,"<p>
 Good
 </p>",0,7600,173.168.94.40,0
,22517,5203,1487210401,"<p>
 If you got any questions about basic i'd be happy to answer them for you.
 </p>",0,7600,173.168.94.40,0
,22518,5203,1487213063,"<p>
 How's the food? Lol. Also I got a packing list but I feel like I won't need most of the things listed, anything in particular that you found useful to being with you? I've heard that they take you to buy most of the stuff on the list
 </p>",0,9446,100.33.36.131,0
,22519,5203,1487213178,"<p>
 food is ok, best on sundays. Things to bring, locks (you'll lose the keys to some while you're there so best to have some you bring), notebook (have the mailing address of people you want to write to while there).
 </p>
 
 <p>
 That's about it
 </p>",0,7600,173.168.94.40,0
,,,,,,,,
3,23765,5405,1493169607,"<p>
 What branch were you in?
 </p>",0,13110,173.63.240.87,1
,23766,5405,1493169648,"<p>
 Navy, what about you?
 </p>",0,14355,205.215.244.122,0
,23767,5405,1493169745,"<p>
 I'm a Poolee for the Marine Corps. I ship soon. Good to have more ex-Mil on here. Military experience is a necessity in my opinion.
 </p>
 
 <p>
 How many years did you do? MOS?
 </p>",0,13110,173.63.240.87,0
,23768,5405,1493170001,"<p>
 Oh shit man, pumped to go? I was a AM/aviation mechanic, but I got to do a year in Afghanistan through a volunteer program. Just 5 years total, I was thinking of going back in before trump totally got jewed out. What is a Poolee? How long have you been in?
 </p>
 
 <p>
 Yeah I think its completely necessary. That way everyone understands that we aren't really individuals. Again too many individuals in the culture now.
 </p>",0,14355,205.215.244.122,0
,23769,5405,1493170631,"<p>
 Hell yeah. A Poolee is somebody in the DEP who is officially enlisted. We run PT and Drills and shit while we wait to get shipped out. Definitely something I'm looking forward too.
 </p>
 
 <p>
 Sucks that you're down South a bit. I'm in the Northeast. IronMarch is good to network with people in your area. I've met up with a lot of good dudes. Just be careful - Try to get a good idea of what people are like before you actually meet them. It could be a total letdown sometimes.
 </p>
 
 <p>
 There are a few Vets on IronMarch as well so if you lurk around you might find them. Make sure to start reading more of the content and guidelines and you'll fit right in. Don't ever compromise. Hooyah my friend.
 </p>",0,13110,173.63.240.87,0
,23770,5405,1493171334,"<p>
 That's awesome brother, happy for you. Be careful if you get deployed with those fucking sand niggers and jews, they are all a bunch of slippery pieces of shit that wash their faces in rain puddles in dirt on the ground. We are too good to be interacting with those people, maybe trump will at least relax the ROE's so those pieces of shit can be blasted back to allah, jews and all.
 </p>
 
 <p>
 Yeah, too bad. The community is what its all about and what i'm hoping to get involved in at some point, or at least be involved with people I know will have my back as I will theirs. Yeah i'm not into meeting too many people who are not at least believing in 80% of what I am, and are not physically fit or like drugs. I have no patience for much trying to convince people anymore
 </p>
 
 <p>
 Yeah i'll look around for sure. I am on stormer, but I'm getting tired of all the trolling faggots, if I log on I generally want to see shit that isnt trolling our movement.
 </p>
 
 <p>
 
 </p>
 
 <p>
 Hooyah
 </p>",0,14355,205.215.244.122,0
,,,,,,,,
,23947,5429,1493937070,"<p>
 I'm actually enlisted in the Marine Corps myself. I ship out in the summer. I honestly think now is the best time to join before it gets <em>really</em> shitty. Its still the whitest branch, and trains men thoroughly unlike the other branches. I doubt we're gonna see another ground war within the next 5-10 years, but I could be wrong. Only 3% of the fleet is currently deployed.
 </p>",0,13110,173.63.240.87,0
,23948,5429,1493938990,"<p>
 Ah, what's your MOS and how long are you to serve for, if you don't mind me asking? I can't argue that, practically any military experience would help to greatly benefit our cause.
 </p>",0,14347,75.134.243.76,0
,23949,5429,1493939656,"<p>
 Its 0300 (Infantry) until I go to ITB. I still need to graduate boot first. And I'm 4 years Active Duty. There are a lot of Ex-military guys on this site, and most of them agree that the experience will really help the struggle in the long run.
 </p>",0,13110,173.63.240.87,0
,,,,,,,,
,8526,2674,1396235335,"<p>Not sure about Racist, Palmer seems determined to enlist in the USMC.<br /><br />To be honest I'm struggling with the issue right now; don't really want to become an officer unless I go National Guard, so I'm thinking of Army or Marine reserves, enlisted. Might go after a job in public safety for my primary income.<br /><br />Everything I've been hearing from retired and active soldiers is that the government is gutting their benefits and pushing more PC crap down the chain of command. We fascists need to be ready to act when the time comes, and my fear is going active could tie me down too much for the next couple years, when making a lot of money and networking is more crucial. Unless the system collapses we're going to need financial backers, so those capable of doing so should seek out professions that pay better and let them put aside or invest money.<br /><br />Of course there will be nationalists in the military, so that's a good thing.</p>",8f02457a7231d891a88fabcc2f1b5818,6122,209.222.8.196,0
,,,,,,,,
,20841,4961,1476160494,"<p>
 Hey, I saw your post on the subject. Myself and a network of individuals have been working for the last few years to try and realize this idea, we've been quite successful so far. All our guys have combat experience in Afghanistan or Ukraine, perhaps some other places as well, and if this is something that interests you then certainly let me know, I'm happy to invite along experienced people, especially fascists.
 </p>
 
 <p>
 
 </p>",0,9668,50.66.175.191,1
